stock_a,stock_b,corr
600029.SS,600115.SS,0.9129621021983888
000750.SZ,601375.SS,0.9126686335749236
000630.SZ,000878.SZ,0.9045071428598901
002500.SZ,601375.SS,0.9037062924633152
002500.SZ,600369.SS,0.903172565150341
000737.SZ,000878.SZ,0.9027899395898427
600489.SS,600547.SS,0.901997107494094
000750.SZ,002500.SZ,0.898247698411034
600908.SS,603323.SS,0.8959106301753812
000166.SZ,601878.SS,0.8950131640064535
002500.SZ,601990.SS,0.8932126791707595
600029.SS,601111.SS,0.8906564117065054
000878.SZ,600362.SS,0.8900820087713731
000807.SZ,002532.SZ,0.8893869858263271
600369.SS,601375.SS,0.8874707843572827
000750.SZ,600369.SS,0.8872475760061247
000623.SZ,600739.SS,0.8870682749009612
600026.SS,601872.SS,0.8869433591708884
000860.SZ,600559.SS,0.8841354857727904
300621.SZ,300800.SZ,0.8832499563778556
000166.SZ,601881.SS,0.8827606440943994
000975.SZ,600988.SS,0.8826461332296545
601318.SS,601601.SS,0.8817360906266589
300112.SZ,300800.SZ,0.8800778090818943
000166.SZ,002500.SZ,0.8796365892540051
000975.SZ,600547.SS,0.8794791490358708
601878.SS,601990.SS,0.8784009565401273
601186.SS,601800.SS,0.8781133368632171
002500.SZ,601878.SS,0.8774106986635106
600489.SS,600988.SS,0.8771256717889337
