yf_ticker,name,index,exchange
A2A.MI,A2A,FTSEMIB,Borsa Italiana
ABB.ST,ABB Ltd,OMXS30,Nasdaq Stockholm
ABBN.SW,ABB Ltd,SMI20,SIX Swiss
ABN.AS,ABN AMRO,AEX25,Euronext Amsterdam
AC.PA,Accor,CAC40,Euronext Paris
ACA.PA,Crédit Agricole,CAC40,Euronext Paris
ACS.MC,ACS,IBEX35,BME Madrid
ACX.MC,Acerinox,IBEX35,BME Madrid
AD.AS,Ahold Delhaize,AEX25,Euronext Amsterdam
ADDT-B.ST,Addtech B,OMXS30,Nasdaq Stockholm
ADYEN.AS,Adyen,AEX25,Euronext Amsterdam
AENA.MC,AENA,IBEX35,BME Madrid
AGN.AS,Aegon,AEX25,Euronext Amsterdam
AI.PA,Air Liquide,CAC40,Euronext Paris
AIR.PA,Airbus,CAC40,Euronext Paris
AKZA.AS,AkzoNobel,AEX25,Euronext Amsterdam
ALC.SW,Alcon Inc,SMI20,SIX Swiss
ALFA.ST,Alfa Laval,OMXS30,Nasdaq Stockholm
ALTR.LS,Altri,PSI20,Euronext Lisbon
AMBU B.CO,Ambu,OMXC25,Nasdaq Copenhagen
AMP.MI,Amplifon,FTSEMIB,Borsa Italiana
AMS.MC,Amadeus IT Group,IBEX35,BME Madrid
ANA.MC,Acciona,IBEX35,BME Madrid
ANE.MC,Acciona Energía,IBEX35,BME Madrid
ASM.AS,ASM International,AEX25,Euronext Amsterdam
ASML.AS,ASML Holding,AEX25,Euronext Amsterdam
ASRNL.AS,ASR Nederland,AEX25,Euronext Amsterdam
ASSA-B.ST,Assa Abloy B,OMXS30,Nasdaq Stockholm
ATCO-A.ST,Atlas Copco A,OMXS30,Nasdaq Stockholm
AVIO.MI,Avio,FTSEMIB,Borsa Italiana
AZM.MI,Azimut,FTSEMIB,Borsa Italiana
AZN.ST,AstraZeneca,OMXS30,Nasdaq Stockholm
BAMI.MI,Banco BPM,FTSEMIB,Borsa Italiana
BAVA.CO,Bavarian Nordic,OMXC25,Nasdaq Copenhagen
BBVA.MC,BBVA,IBEX35,BME Madrid
BC.MI,Brunello Cucinelli,FTSEMIB,Borsa Italiana
BCP.LS,Banco Comercial Português,PSI20,Euronext Lisbon
BESI.AS,BE Semiconductors,AEX25,Euronext Amsterdam
BKT.MC,Bankinter,IBEX35,BME Madrid
BMED.MI,Banca Mediolanum,FTSEMIB,Borsa Italiana
BMPS.MI,Banca Monte dei Paschi di Siena,FTSEMIB,Borsa Italiana
BN.PA,Danone,CAC40,Euronext Paris
BNP.PA,BNP Paribas,CAC40,Euronext Paris
BOL.ST,Boliden,OMXS30,Nasdaq Stockholm
BPE.MI,BPER Banca,FTSEMIB,Borsa Italiana
BVI.PA,Bureau Veritas,CAC40,Euronext Paris
BZU.MI,Buzzi,FTSEMIB,Borsa Italiana
CA.PA,Carrefour,CAC40,Euronext Paris
CABK.MC,CaixaBank,IBEX35,BME Madrid
CAP.PA,Capgemini,CAC40,Euronext Paris
CARL B.CO,Carlsberg Group (class B),OMXC25,Nasdaq Copenhagen
CFR.SW,Compagnie Financière Richemont SA,SMI20,SIX Swiss
CLNX.MC,Cellnex Telecom,IBEX35,BME Madrid
COL.MC,Inmobiliaria Colonial,IBEX35,BME Madrid
COLO B.CO,Coloplast (class B),OMXC25,Nasdaq Copenhagen
COR.LS,Corticeira Amorim,PSI20,Euronext Lisbon
CPR.MI,Campari,FTSEMIB,Borsa Italiana
CS.PA,Axa,CAC40,Euronext Paris
CTT.LS,CTT Correios de Portugal,PSI20,Euronext Lisbon
DANSKE.CO,Danske Bank,OMXC25,Nasdaq Copenhagen
DEMANT.CO,Demant,OMXC25,Nasdaq Copenhagen
DG.PA,Vinci,CAC40,Euronext Paris
DIA.MI,Diasorin,FTSEMIB,Borsa Italiana
DSFIR.AS,DSM Firmenich AG,AEX25,Euronext Amsterdam
DSV.CO,DSV,OMXC25,Nasdaq Copenhagen
DSY.PA,Dassault Systèmes,CAC40,Euronext Paris
EDEN.PA,Edenred,CAC40,Euronext Paris
EDP.LS,Energias de Portugal,PSI20,Euronext Lisbon
EDPR.LS,EDP Renováveis,PSI20,Euronext Lisbon
EGL.LS,Mota-Engil,PSI20,Euronext Lisbon
EL.PA,EssilorLuxottica,CAC40,Euronext Paris
ELE.MC,Endesa,IBEX35,BME Madrid
ELISA.HE,Elisa,OMXH25,Nasdaq Helsinki
EN.PA,Bouygues,CAC40,Euronext Paris
ENEL.MI,Enel,FTSEMIB,Borsa Italiana
ENG.MC,Enagás,IBEX35,BME Madrid
ENGI.PA,Engie,CAC40,Euronext Paris
ENI.MI,Eni,FTSEMIB,Borsa Italiana
EPI-A.ST,Epiroc A,OMXS30,Nasdaq Stockholm
EQT.ST,EQT,OMXS30,Nasdaq Stockholm
ERF.PA,Eurofins Scientific,CAC40,Euronext Paris
ERIC-B.ST,Ericsson B,OMXS30,Nasdaq Stockholm
ESSITY-B.ST,Essity B,OMXS30,Nasdaq Stockholm
EVO.ST,Evolution,OMXS30,Nasdaq Stockholm
EXO.AS,Exor,AEX25,Euronext Amsterdam
Euronext Amsterdam: APAM.BR,Aperam,BEL20,Euronext Brussels
Euronext Brussels: ABI.BR,AB InBev,BEL20,Euronext Brussels
Euronext Brussels: ACKB.BR,Ackermans & van Haaren,BEL20,Euronext Brussels
Euronext Brussels: AED.BR,Aedifica,BEL20,Euronext Brussels
Euronext Brussels: AGS.BR,Ageas,BEL20,Euronext Brussels
Euronext Brussels: ARGX.BR,arGEN-X [nl],BEL20,Euronext Brussels
Euronext Brussels: AZE.BR,Azelis Group,BEL20,Euronext Brussels
Euronext Brussels: DIE.BR,D'Ieteren,BEL20,Euronext Brussels
Euronext Brussels: ELI.BR,Elia Group,BEL20,Euronext Brussels
Euronext Brussels: GBLB.BR,GBL,BEL20,Euronext Brussels
Euronext Brussels: KBC.BR,KBC,BEL20,Euronext Brussels
Euronext Brussels: LOTB.BR,Lotus Bakeries,BEL20,Euronext Brussels
Euronext Brussels: MELE.BR,Melexis [nl],BEL20,Euronext Brussels
Euronext Brussels: MONT.BR,Montea,BEL20,Euronext Brussels
Euronext Brussels: SOF.BR,Sofina,BEL20,Euronext Brussels
Euronext Brussels: SOLB.BR,Solvay,BEL20,Euronext Brussels
Euronext Brussels: SYENS.BR,Syensqo,BEL20,Euronext Brussels
Euronext Brussels: UCB.BR,UCB,BEL20,Euronext Brussels
Euronext Brussels: UMI.BR,Umicore,BEL20,Euronext Brussels
Euronext Brussels: WDP.BR,WDP [nl],BEL20,Euronext Brussels
FBK.MI,FinecoBank,FTSEMIB,Borsa Italiana
FCT.MI,Fincantieri,FTSEMIB,Borsa Italiana
FDR.MC,Fluidra,IBEX35,BME Madrid
FER.MC,Ferrovial,IBEX35,BME Madrid
FORTUM.HE,Fortum,OMXH25,Nasdaq Helsinki
G.MI,Generali,FTSEMIB,Borsa Italiana
GALP.LS,Galp Energia,PSI20,Euronext Lisbon
GEBN.SW,Geberit AG,SMI20,SIX Swiss
GIVN.SW,Givaudan SA,SMI20,SIX Swiss
GLE.PA,Société Générale,CAC40,Euronext Paris
GMAB.CO,Genmab,OMXC25,Nasdaq Copenhagen
GN.CO,GN Store Nord,OMXC25,Nasdaq Copenhagen
GRF.MC,Grifols,IBEX35,BME Madrid
HEIA.AS,Heineken,AEX25,Euronext Amsterdam
HER.MI,Hera,FTSEMIB,Borsa Italiana
HEXA-B.ST,Hexagon B,OMXS30,Nasdaq Stockholm
HIAB.HE,Hiab,OMXH25,Nasdaq Helsinki
HM-B.ST,Hennes & Mauritz B,OMXS30,Nasdaq Stockholm
HO.PA,Thales,CAC40,Euronext Paris
HOLN.SW,Holcim Limited,SMI20,SIX Swiss
HUH1V.HE,Huhtamäki,OMXH25,Nasdaq Helsinki
IAG.MC,International Airlines Group,IBEX35,BME Madrid
IBE.MC,Iberdrola,IBEX35,BME Madrid
IBS.LS,Ibersol,PSI20,Euronext Lisbon
IDR.MC,Indra,IBEX35,BME Madrid
IG.MI,Italgas,FTSEMIB,Borsa Italiana
IMCD.AS,IMCD,AEX25,Euronext Amsterdam
INDU-C.ST,Industrivärden C,OMXS30,Nasdaq Stockholm
INGA.AS,ING Group,AEX25,Euronext Amsterdam
INVE-B.ST,Investor B,OMXS30,Nasdaq Stockholm
INW.MI,INWIT,FTSEMIB,Borsa Italiana
ISP.MI,Intesa Sanpaolo,FTSEMIB,Borsa Italiana
ISS.CO,ISS,OMXC25,Nasdaq Copenhagen
ITX.MC,Inditex,IBEX35,BME Madrid
IVG.MI,Iveco,FTSEMIB,Borsa Italiana
JMT.LS,Jerónimo Martins,PSI20,Euronext Lisbon
JYSK.CO,Jyske Bank,OMXC25,Nasdaq Copenhagen
KALMAR.HE,Kalmar [fi] B,OMXH25,Nasdaq Helsinki
KCR.HE,Konecranes,OMXH25,Nasdaq Helsinki
KEMIRA.HE,Kemira,OMXH25,Nasdaq Helsinki
KER.PA,Kering,CAC40,Euronext Paris
KESKOB.HE,Kesko B,OMXH25,Nasdaq Helsinki
