symbol,name,index,yf_ticker
1SXP,Schott Pharma AG & CO KGaA,SDAX70,1SXP.F
1U1,1&1 AG,SDAX70,1U1.F
8OT,Douglas Elliman Inc.,SDAX70,8OT.F
8TRA,Traton,MDAX50,8TRA.F
AAD,Amadeus FiRe AG,SDAX70,AAD.F
ACT,AlzChem Group AG,SDAX70,ACT.F
ADN1,adesso SE,SDAX70,ADN1.F
ADS,Adidas,DAX40,ADS.F
ADV,Adtran Networks SE,SDAX70,ADV.F
AFX,Carl Zeiss Meditec,MDAX50,AFX.F
AIR,Airbus,DAX40,AIR.F
AIXA,Aixtron,MDAX50,AIXA.F
ALV,Allianz,DAX40,ALV.F
AOF,ATOSS Software AG,SDAX70,AOF.F
AT1,Aroundtown,MDAX50,AT1.F
BAS,BASF,DAX40,BAS.F
BAYN,Bayer,DAX40,BAYN.F
BC8,Bechtle,MDAX50,BC8.F
BEI,Beiersdorf,DAX40,BEI.F
BFSA,Befesa,MDAX50,BFSA.F
BMW,BMW,DAX40,BMW.F
BNR,Brenntag,DAX40,BNR.F
BOSS,Hugo Boss,MDAX50,BOSS.F
BVB,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,SDAX70,BVB.F
CBK,Commerzbank,DAX40,CBK.F
COK,Cancom SE,SDAX70,COK.F
CON,Continental,DAX40,CON.F
CWC,CEWE Stiftung & Co. KGaA,SDAX70,CWC.F
DB1,Deutsche Börse,DAX40,DB1.F
DBAN,Deutsche Beteiligungs AG,SDAX70,DBAN.F
DBK,Deutsche Bank,DAX40,DBK.F
DEQ,Deutsche EuroShop AG,SDAX70,DEQ.F
DEZ,DEUTZ Aktiengesellschaft,SDAX70,DEZ.F
DHER,Delivery Hero,MDAX50,DHER.F
DHL,Deutsche Post,DAX40,DHL.F
DMP,Dermapharm Holding SE,SDAX70,DMP.F
DTE,Deutsche Telekom,DAX40,DTE.F
DTG,Daimler Truck,DAX40,DTG.F
ECV,Encavis,MDAX50,ECV.F
EKT,Energiekontor AG,SDAX70,EKT.F
ELG,Elmos Semiconductor SE,SDAX70,ELG.F
ENR,Siemens Energy,DAX40,ENR.F
EOAN,E.ON,DAX40,EOAN.F
EUZ,Eckert & Ziegler Strahlen- und Medizintechnik AG,SDAX70,EUZ.F
EVD,CTS Eventim,MDAX50,EVD.F
EVK,Evonik,MDAX50,EVK.F
EVT,Evotec,MDAX50,EVT.F
F3C,SFC Energy AG,SDAX70,F3C.F
FME,Fresenius Medical Care,DAX40,FME.F
FNTN,Freenet,MDAX50,FNTN.F
FPE3,Fuchs Petrolub,MDAX50,FPE3.F
FRA,Fraport,MDAX50,FRA.F
FRE,Fresenius,DAX40,FRE.F
FYB,Formycon AG,SDAX70,FYB.F
G1A,GEA Group,DAX40,G1A.F
G24,Scout24,DAX40,G24.F
GBF,Bilfinger,MDAX50,GBF.F
GFT,GFT Technologies SE,SDAX70,GFT.F
GLJ,Grenke AG,SDAX70,GLJ.F
GXI,Gerresheimer,MDAX50,GXI.F
GYC,Grand City Properties S.A.,SDAX70,GYC.F
HAG,Hensoldt,MDAX50,HAG.F
HBH,HORNBACH Holding AG & Co. KGaA,SDAX70,HBH.F
HDD,Heidelberger Druckmaschinen Aktiengesellschaft,SDAX70,HDD.F
HEI,Heidelberg Materials,DAX40,HEI.F
HEN3,Henkel,DAX40,HEN3.F
HFG,HelloFresh,MDAX50,HFG.F
HLE,Hella,MDAX50,HLE.F
HNR1,Hannover Re,DAX40,HNR1.F
HOT,Hochtief,MDAX50,HOT.F
HYQ,Hypoport SE,SDAX70,HYQ.F
IFX,Infineon Technologies,DAX40,IFX.F
INH,INDUS Holding AG,SDAX70,INH.F
JEN,Jenoptik,MDAX50,JEN.F
JST,JOST Werke AG,SDAX70,JST.F
JUN3,Jungheinrich,MDAX50,JUN3.F
KBX,Knorr-Bremse,MDAX50,KBX.F
KGX,KION Group,MDAX50,KGX.F
KRN,Krones,MDAX50,KRN.F
KSB,KSB SE & Co. KGaA,SDAX70,KSB.F
KTN,Kontron AG,SDAX70,KTN.F
KWS,KWS SAAT SE & Co KGaA,SDAX70,KWS.F
LEG,LEG Immobilien,MDAX50,LEG.F
LHA,Lufthansa,MDAX50,LHA.F
LPK,LPKF Laser & Electronics AG,SDAX70,LPK.F
LXS,Lanxess,MDAX50,LXS.F
MBB,MBB SE,SDAX70,MBB.F
MBG,Mercedes-Benz Group,DAX40,MBG.F
MRK,Merck,DAX40,MRK.F
MTX,MTU Aero Engines,DAX40,MTX.F
MUV2,Munich Re,DAX40,MUV2.F
MUX,Mutares SE & Co. KGaA,SDAX70,MUX.F
NA9,Nagarro SE,SDAX70,NA9.F
NCH2,thyssenkrupp nucera AG & Co. KGaA,SDAX70,NCH2.F
NDA,Aurubis,MDAX50,NDA.F
NDX1,Nordex,MDAX50,NDX1.F
NEM,Nemetschek,MDAX50,NEM.F
NOEJ,NORMA Group SE,SDAX70,NOEJ.F
PAH3,Porsche SE,DAX40,PAH3.F
PAT,PATRIZIA SE,SDAX70,PAT.F
PCZ,ProCredit Holding AG,SDAX70,PCZ.F
PNE3,PNE AG,SDAX70,PNE3.F
PSM,ProSiebenSat.1 Media SE,SDAX70,PSM.F
PUM,Puma,MDAX50,PUM.F
QIA,Qiagen,DAX40,QIA.F
RAA,Rational,MDAX50,RAA.F
RDC,Redcare Pharmacy,MDAX50,RDC.F
RHM,Rheinmetall,DAX40,RHM.F
RRTL,RTL Group,MDAX50,RRTL.F
RWE,RWE,DAX40,RWE.F
S92,SMA Solar Technology AG,SDAX70,S92.F
SAP,SAP,DAX40,SAP.F
SAX,Ströer,MDAX50,SAX.F
SBS,Stratec SE,SDAX70,SBS.F
SDF,K+S,MDAX50,SDF.F
SFQ,SAF-Holland SE,SDAX70,SFQ.F
SHA0,Schaeffler AG,SDAX70,SHA0.F
SHL,Siemens Healthineers,DAX40,SHL.F
SIE,Siemens,DAX40,SIE.F
SIX3,Sixt SE,SDAX70,SIX3.F
SPG,Springer Nature AG & Co. KGaA,SDAX70,SPG.F
STM,Stabilus,MDAX50,STM.F
STO3,Sto SE & Co KGaA,SDAX70,STO3.F
SY1,Symrise,DAX40,SY1.F
SZG,Salzgitter AG,SDAX70,SZG.F
TEG,TAG Tegernsee Immobilien und Beteiligung,MDAX50,TEG.F
TKA,ThyssenKrupp,MDAX50,TKA.F
TLX,Talanx,MDAX50,TLX.F
TMV,TeamViewer,MDAX50,TMV.F
TPE,PVA TePla AG,SDAX70,TPE.F
TUI1,TUI,MDAX50,TUI1.F
UTDI,United Internet,MDAX50,UTDI.F
VNA,Vonovia,DAX40,VNA.F
VOS,Vossloh AG,SDAX70,VOS.F
VOW3,Volkswagen Group,DAX40,VOW3.F
VRV,Verve Group SE                N,SDAX70,VRV.F
WAC,Wacker Neuson SE,SDAX70,WAC.F
WAF,Siltronic,MDAX50,WAF.F
WCH,Wacker Chemie,MDAX50,WCH.F
YSN,secunet Security Networks Aktiengesellschaft,SDAX70,YSN.F
YT2A,"Atresmedia Corporación de Medios de Comunicación, S.A.",SDAX70,YT2A.F
ZAL,Zalando,DAX40,ZAL.F
