symbol,name,index,yf_ticker
3IN,3i Infrastructure,FTSE250,3IN.L
AAF,Airtel Africa,FTSE100,AAF.L
AAL,Anglo American plc,FTSE100,AAL.L
AAS,Aberdeen Asia Focus,FTSE250,AAS.L
ABDN,Aberdeen Group,FTSE250,ABDN.L
ABF,Associated British Foods,FTSE100,ABF.L
ADM,Admiral Group,FTSE100,ADM.L
AEP,AEP Plantations,FTSE250,AEP.L
AEWU,AEW UK REIT,FTSESmallCap,AEWU.L
AGT,AVI Global Trust,FTSE250,AGT.L
AIE,Ashoka India Equity Investment Trust,FTSE250,AIE.L
AJB,AJ Bell,FTSE250,AJB.L
ALFA,Alfa Financial Software,FTSE250,ALFA.L
ALW,Alliance Witan,FTSE100,ALW.L
AML,Aston Martin Lagonda,FTSE250,AML.L
ANTO,Antofagasta plc,FTSE100,ANTO.L
AO,AO World,FTSE250,AO.L
APN,Applied Nutrition,FTSE250,APN.L
APTD,Aptitude Software Group,FTSESmallCap,APTD.L
ASHM,Ashmore Group,FTSE250,ASHM.L
ASIT,Aberforth Split Level Income Trust,FTSESmallCap,ASIT.L
ASL,Aberforth Smaller Companies Trust,FTSE250,ASL.L
ATR,Schroder Asian Total Return Investment Company,FTSE250,ATR.L
ATS,Artemis Alpha Trust,FTSESmallCap,ATS.L
ATT,Allianz Technology Trust,FTSE250,ATT.L
ATYM,Atalaya Mining,FTSE250,ATYM.L
AUGM,Augmentum Fintech,FTSESmallCap,AUGM.L
AUTO,Autotrader Group,FTSE100,AUTO.L
AV,Aviva,FTSE100,AV.L
AVON,Avon Technologies,FTSE250,AVON.L
AZN,AstraZeneca,FTSE100,AZN.L
BA,BAE Systems,FTSE100,BA.L
BAB,Babcock International,FTSE100,BAB.L
BAG,A.G. Barr,FTSE250,BAG.L
BARC,Barclays,FTSE100,BARC.L
BATS,British American Tobacco,FTSE100,BATS.L
BBOX,Tritax Big Box REIT,FTSE100,BBOX.L
BBY,Balfour Beatty,FTSE250,BBY.L
BCG,Baltic Classifieds,FTSE250,BCG.L
BEZ,Beazley,FTSE100,BEZ.L
BGEO,Lion Finance Group,FTSE100,BGEO.L
BGEU,Baillie Gifford European Growth Trust,FTSESmallCap,BGEU.L
BGFD,Baillie Gifford Japan Trust,FTSE250,BGFD.L
