Name,NSE Code,CMP Rs.,Market Cap Rs.Cr.,P/E,P/B,ROE %,ROCE %,Debt to equity,Current ratio,OPM %,Net profit margin %,Sales growth 5Years %,Profit growth 5Years %,Sales growth 10Years %,Profit growth 10Years %,Cash from Operations Rs.Cr.,Net profit Rs.Cr.,Total assets Rs.Cr.,Promoter holding %,Promoter pledge %,52 Week High Rs.,52 Week Low Rs.,Volume,30D Avg Volume,Piotroski score
Reliance Industries Ltd,RELIANCE,1312.5,17744000,25.3,2.21,8.8,11.5,0.43,1.12,17.8,7.2,11.6,14.3,13.1,15.2,145280,67832,2856430,50.29,0.0,1608.95,1115.55,7823450,6234100,5
Tata Consultancy Services Ltd,TCS,3418.75,12389000,28.4,13.8,52.1,72.8,0.0,4.21,25.3,20.1,13.8,12.5,16.2,14.8,56820,45912,614320,72.3,0.0,4592.25,3056.05,2456780,1987650,7
HDFC Bank Ltd,HDFCBANK,1672.3,12648000,17.2,2.76,16.2,7.8,7.83,,,21.4,18.5,19.2,20.1,18.9,135680,94280,2356820,0.0,0.0,1880.0,1363.55,10234560,8129450,6
Infosys Ltd,INFY,1548.65,6412000,25.1,8.47,33.8,45.6,0.0,3.82,22.4,18.2,13.4,10.8,14.5,12.3,43560,31284,456820,14.89,0.0,2006.45,1358.35,4561230,3782140,7
ICICI Bank Ltd,ICICIBANK,1218.4,8572000,17.0,2.98,17.3,8.9,8.52,,,22.8,19.6,24.5,21.3,20.8,98740,82340,1823450,30.28,0.0,1417.25,970.2,9234560,7823450,6
Bharti Airtel Ltd,BHARTIARTL,1634.5,9734000,79.8,6.92,8.7,11.2,2.08,0.89,35.2,6.1,18.3,,20.4,,58960,22480,2456820,56.24,0.0,1779.0,1128.35,3456780,2834500,5
Kotak Mahindra Bank Ltd,KOTAKBANK,2198.75,4384000,19.8,3.02,15.4,7.4,6.21,,,20.3,16.2,17.8,18.5,17.2,21840,18240,1234560,0.0,0.0,2411.25,1543.9,2134560,1823450,6
ITC Ltd,ITC,431.25,5372000,27.6,7.43,27.8,36.5,0.0,2.34,35.8,27.9,11.9,20.8,9.3,12.4,33280,17643,456820,0.0,0.0,528.5,395.65,12345670,9876540,7
State Bank of India,SBIN,812.4,7248000,9.1,1.83,18.1,,15.76,,,14.2,16.5,32.4,15.8,19.3,145680,73280,2345678,57.54,0.0,912.1,595.2,14563450,11234560,5
Axis Bank Ltd,AXISBANK,1158.6,3567000,11.8,2.24,18.4,8.8,9.03,,,17.2,18.7,31.2,20.3,22.8,58760,43280,4562340,8.27,0.0,1339.65,958.25,5678920,4523450,6
Maruti Suzuki India Ltd,MARUTI,12478.35,3987000,27.8,4.98,18.1,23.5,0.0,1.58,12.4,9.2,14.8,32.5,10.2,12.8,19280,15640,312450,58.19,0.0,13860.0,8773.2,456780,398120,7
Titan Company Ltd,TITAN,3412.6,3034000,82.1,23.4,29.6,38.2,0.08,1.64,12.1,8.3,24.8,34.6,20.1,28.4,11840,9630,312450,52.9,0.0,3886.95,2823.65,1234560,987450,6
Sun Pharmaceutical Industries Ltd,SUNPHARMA,1698.45,4072000,37.6,7.48,19.8,24.5,0.02,2.83,27.8,21.5,12.4,18.6,9.8,14.3,16840,12340,1234560,54.48,0.0,1960.25,1244.3,2345670,1934560,7
Bajaj Finance Ltd,BAJFINANCE,7012.35,4228000,27.9,5.84,22.4,,3.52,,,19.8,28.6,25.8,35.2,32.4,,14280,1456820,55.89,0.0,8190.0,5487.85,1234560,1045670,6
Wipro Ltd,WIPRO,288.95,3053000,20.3,3.98,19.6,27.8,0.0,2.14,17.3,13.8,8.6,7.5,9.2,8.4,18340,14280,312450,73.37,0.0,324.75,208.45,6789230,5678920,6
NTPC Ltd,NTPC,338.75,3289000,14.8,2.18,13.8,9.8,2.14,1.02,32.4,11.8,11.2,13.4,9.8,10.2,45680,31280,2345678,51.1,0.0,448.45,281.75,8923450,7234560,5
Oil & Natural Gas Corp Ltd,ONGC,242.65,3051000,8.2,0.92,11.2,13.8,0.29,1.34,28.2,8.7,7.8,12.4,3.2,6.8,72840,52340,4567890,58.89,0.0,318.7,196.2,14567890,11234560,5
Coal India Ltd,COALINDIA,391.4,2418000,7.4,5.98,90.2,98.4,0.0,2.14,24.8,21.5,7.2,16.8,6.4,12.3,56780,38960,4567890,63.13,0.0,534.45,348.65,7345670,5823450,6
Pidilite Industries Ltd,PIDILITIND,2913.5,1482000,81.2,22.1,27.6,35.4,0.08,2.46,21.8,16.9,13.8,17.4,11.2,14.8,8940,6840,312450,70.22,0.0,3360.75,2372.55,456780,398120,7
LTIMindtree Ltd,MINDTREE,5218.6,1547000,29.8,8.24,27.4,35.8,0.0,3.42,19.2,15.8,18.4,16.2,,,14280,11640,234560,68.59,0.0,6767.65,4510.1,678920,556780,7
