Name,NSE Code,CMP Rs.,Market Cap Rs.Cr.,P/E,P/B,ROE %,ROCE %,Debt to equity,Current ratio,OPM %,Net profit margin %,Sales growth 5Years %,Profit growth 5Years %,Sales growth 10Years %,Profit growth 10Years %,Cash from Operations Rs.Cr.,Net profit Rs.Cr.,Total assets Rs.Cr.,Promoter holding %,Promoter pledge %,52 Week High Rs.,52 Week Low Rs.,Volume,30D Avg Volume,Piotroski score
Marico Ltd,MARICO,648.75,83980,52.4,17.8,33.8,42.5,0.0,1.48,19.8,13.5,6.8,10.2,7.2,12.4,2840,1598,18450,59.01,0.0,723.4,503.55,2345670,1876540,6
Jubilant FoodWorks Ltd,JUBLFOOD,697.3,46290,84.6,22.1,25.7,37.8,0.28,0.84,18.2,7.8,13.4,,17.8,,1240,842,312450,41.94,0.0,826.55,475.45,1234560,987450,5
Bharat Electronics Ltd,BEL,298.45,217430,40.2,9.14,23.6,29.8,0.0,2.67,22.4,17.8,18.1,24.5,14.2,18.6,6840,5121,456820,51.14,0.0,336.35,163.75,8923450,6734560,7
Tata Elxsi Ltd,TATAELXSI,6038.5,375780,44.8,14.2,32.1,41.8,0.0,3.84,29.2,23.6,22.4,24.8,18.4,21.2,1840,1438,98760,44.51,0.0,8560.45,5124.2,312450,256780,7
Latent View Analytics Ltd,LATENTVIEW,388.25,26490,55.2,13.6,24.8,31.5,0.0,4.68,23.8,19.4,28.4,26.2,,,284,218,78920,41.72,0.0,534.9,283.65,456780,367890,6
Syngene International Ltd,SYNGENE,812.6,32490,51.8,9.78,18.9,22.6,0.18,1.68,26.8,16.4,14.2,18.8,16.4,20.1,940,728,45670,54.66,0.0,1028.75,623.4,234560,189450,6
Thermax Ltd,THERMAX,4512.35,507890,64.8,11.8,18.4,23.8,0.08,1.52,9.8,6.8,14.8,21.4,10.4,14.2,1840,1234,98760,62.1,0.0,5234.75,3210.5,198760,154320,5
Caplin Point Laboratories Ltd,CAPLIPOINT,2478.9,184320,24.8,5.24,21.2,27.4,0.0,2.28,29.8,23.5,12.4,14.8,11.8,16.4,1124,868,67890,58.52,0.0,2892.55,1642.35,123450,98760,7
CRISIL Ltd,CRISIL,5198.45,375410,44.6,14.8,34.8,45.2,0.0,3.24,34.8,27.6,12.8,16.2,11.4,14.8,1240,964,45670,67.04,0.0,5834.7,3520.35,123450,98760,7
Mazagon Dock Shipbuilders Ltd,MAZDOCK,4834.6,978540,34.8,9.82,29.4,37.8,0.0,2.48,21.8,17.4,19.8,34.2,16.8,24.8,4280,3124,178920,84.83,0.0,5620.15,2854.3,678920,523450,7
Praj Industries Ltd,PRAJIND,681.25,124530,29.6,6.84,23.4,29.8,0.08,1.98,12.8,8.9,17.8,22.4,14.2,18.8,684,498,32450,28.81,0.0,814.45,492.15,1234560,987450,6
CDSL Ltd,CDSL,1812.4,189340,64.8,17.8,27.8,35.2,0.0,3.48,54.8,44.6,21.8,28.4,,,1648,1238,145670,0.0,0.0,2088.4,990.3,789230,623450,6
Nazara Technologies Ltd,NAZARA,898.35,82340,118.4,7.92,6.7,8.2,0.0,2.84,11.8,5.8,44.8,68.4,,,124,94,123450,44.24,0.0,1236.5,694.25,456780,356780,4
Mahindra Holidays & Resorts India Ltd,MHRIL,352.4,28940,27.8,7.68,27.4,29.8,0.48,1.34,34.8,17.6,9.8,12.4,8.4,10.8,984,368,34560,26.12,0.0,418.95,239.55,345670,278920,5
SKF India Ltd,SKFINDIA,5012.35,247890,34.8,7.84,22.8,29.4,0.0,1.84,16.8,12.8,9.8,12.4,8.4,10.8,1248,964,34560,53.58,0.0,5834.7,3490.6,123450,98760,6
