Commodity,HSCode,Value_2020_M,Value_2023_M,Growth_5yr_%,Opportunity
India's Total Export,India's Total Export,291808.48,437704.58,49.99721049916029,HIGH_VALUE_GROWING
"AUTOMOTIVE DIESEL FUEL, NOT CONTAINING BIODIESEL, CONFORMING TO STANDARD IS 1460",27101944,8800.83,19455.88,121.06869465720848,MEGA_GROWTH
"AVIATION TURBINE FUELS, KEROSENE TYPE CONFORMING TO STANDARD IS 1571",27101939,430.06,15202.66,3435.0090685020696,MEGA_GROWTH
MOTOR GASOLINE CONFORMING TO STANDARD IS 2796,27101241,3645.75,10502.89,188.08585339093463,MEGA_GROWTH
OTHER  MEDCNE PUT UP FOR RETAIL SALE N.E.S,30049099,7965.93,9778.33,22.75189463126088,HIGH_VALUE_GROWING
"AEROPLANES AND OTHR AIRCRAFT,OF AN UNLADEN  WEIGHT EXCEEDING 15000 KG",88024000,115.77,5544.53,4689.263194264489,MEGA_GROWTH
MOTOR CAR WTH CYLNDR CPCTY>=1000CC BUT     < 1500CC WTH SPRK-IGNTN,87032291,1983.75,5098.6,157.0182734719597,MEGA_GROWTH
OTHERS-OF-LIGHT OILS AND PREPARATIONS:,27101290,1883.15,5041.41,167.71154714175714,MEGA_GROWTH
TURBO-JETS OF A THRUST>25 KN,84111200,2404.62,4766.73,98.23215310527235,HIGH_VALUE_GROWING
HIGH FLASH HIGH SPEED DIESEL FUEL CONFORMING TO STANDARD IS 16861,27101949,3250.24,4628.24,42.39686915427784,HIGH_VALUE_GROWING
"BONELESS MEAT OF BOVINE ANIMALS , FROZEN",02023000,2851.94,3669.38,28.66259458473881,HIGH_VALUE_GROWING
OTR PRTSANDACCSSRS OF VHCLS OF HDG 8701-8705,87089900,2358.83,3567.79,51.25252773620821,HIGH_VALUE_GROWING
LIGHT NAPHTHA,27101221,2081.66,3464.21,66.4157451264856,HIGH_VALUE_GROWING
OTHER ANTICANCER DRUGS,30049049,570.19,2336.32,309.74412038092566,HIGH_VALUE_GROWING
MOTR CYCLWTH CYLNDR CPCTY >75 BT<=250 CC,87112029,1623.23,2282.39,40.60792370766927,HIGH_VALUE_GROWING
TANKERS,89012000,407.38,2210.16,442.53031567578176,HIGH_VALUE_GROWING
OF A WATER ABSORPTION COEFFICIENT BY WEIGHT NOT EXCEEDING 0.5%,69072100,1073.64,1805.29,68.14667858872619,HIGH_VALUE_GROWING
OTHERS-OF-OTHER HETERDCYCLIC CMPNDS WITH NITROGEN HETRO ATOM (S) ONLY,29339990,928.83,1504.51,61.97904891099555,HIGH_VALUE_GROWING
OTH ARMTC HYDCRBN MXTRS OF WHICH 65 PRCNT OR MORE BY VL (INCLDNG LOSSES) DISTLS AT 250 DGR.C. BY ISO 3405 (ASTM D 86 METHOD),27075000,139.27,1460.95,949.0055288288936,HIGH_VALUE_GROWING
BENZENE,29022000,755.36,1409.66,86.62094895149333,HIGH_VALUE_GROWING
OF A KIND USED ON AGRICULTURAL OR FORESTRY VEHICLES AND MACHINES,40117000,814.05,1161.99,42.74184632393588,HIGH_VALUE_GROWING
ELECTRICAL ENERGY,27160000,604.42,1134.2,87.65097117898152,HIGH_VALUE_GROWING
PARTS OF OTHR ROTATING ELECTRC PLANTS,85030090,540.1,1129.8,109.18348453990001,HIGH_VALUE_GROWING
"GEARS AND GEARNG,EXCL TOOTHD WHEELS,TRNSMSN ELMNTS PRSNTD SEPRTLY;BALL SCRWS;GEAR     BOXSAND SPEED CHNGRS,INCL TORQUE C",84834000,550.63,1100.96,99.94551695330803,HIGH_VALUE_GROWING
CASTOR OILANDITS FRCTNS OTHR THN EDBLE GRADE,15153090,846.83,1059.05,25.060519820979405,HIGH_VALUE_GROWING
GREY,52054610,5.23,1054.57,20063.862332695982,HIGH_VALUE_GROWING
GREY,52054410,43.24,1054.57,2338.8760407030522,HIGH_VALUE_GROWING
GREY,52054810,28.31,1054.57,3625.0794772165314,HIGH_VALUE_GROWING
GREY,52054110,0.28,1054.57,376532.1428571428,HIGH_VALUE_GROWING
GREY,52053510,4.64,1054.57,22627.80172413793,HIGH_VALUE_GROWING
GREY,52051110,26.7,1054.57,3849.700374531835,HIGH_VALUE_GROWING
GREY,52051210,368.5,1054.57,186.17910447761193,HIGH_VALUE_GROWING
GREY,52054310,12.67,1054.57,8223.36227308603,HIGH_VALUE_GROWING
GREY,52054210,20.14,1054.57,5136.196623634557,HIGH_VALUE_GROWING
GREY,52051410,59.1,1054.57,1684.3824027072756,HIGH_VALUE_GROWING
GREY,52052110,8.7,1054.57,12021.494252873563,HIGH_VALUE_GROWING
GREY,52052210,335.03,1054.57,214.76882667223833,HIGH_VALUE_GROWING
GREY,52052310,813.88,1054.57,29.573155747776074,HIGH_VALUE_GROWING
GREY,52053110,1.43,1054.57,73646.15384615384,HIGH_VALUE_GROWING
GREY,52053210,60.48,1054.57,1643.6673280423279,HIGH_VALUE_GROWING
GREY,52053310,21.73,1054.57,4753.060285319834,HIGH_VALUE_GROWING
GREY,52053410,18.75,1054.57,5524.373333333333,HIGH_VALUE_GROWING
GREY,52051310,98.56,1054.57,969.9776785714284,HIGH_VALUE_GROWING
GREY,52051510,0.19,1054.57,554936.842105263,HIGH_VALUE_GROWING
FERRO-SILICO-MANGANESE,72023000,680.04,1020.11,50.00735250867597,HIGH_VALUE_GROWING
MOTOR CAR WTH CYLNDR CPCTY<=1000          WTH SPRK-IGNTN,87032191,560.34,1011.55,80.52432451725736,HIGH_VALUE_GROWING
55% FE OR MORE BUT BELOW 58% FE,26011122,29.12,1001.64,3339.697802197802,HIGH_VALUE_GROWING
OTHERS-OF-STATIC CONVERTERS,85044090,411.18,910.29,121.3847949803006,EMERGING_OPPORTUNITY
FLUE CURED VIRGINIA TOBACCO PARTLY /      WHOLLYSTMD/STRIPPED,24012010,350.14,894.97,155.60347289655567,EMERGING_OPPORTUNITY
OTHER PARTS OF THE ITEMS UNDR HDG 8481,84819090,412.85,882.86,113.84522223567882,EMERGING_OPPORTUNITY
OTHER PARTS OF HDG 8538,85389000,415.78,868.84,108.96628024436001,EMERGING_OPPORTUNITY
OTHR DRESSES OF COTTON,62044290,340.6,830.78,143.9166177334116,EMERGING_OPPORTUNITY
GRADE MV2,27101953,72.6,758.33,944.5316804407714,EMERGING_OPPORTUNITY
GRADE HV,27101959,74.77,717.8,860.0106994784005,EMERGING_OPPORTUNITY
OF COTTON: OTHER,62046290,152.24,709.45,366.00761954808195,EMERGING_OPPORTUNITY
REFINED LEAD,78011000,238.46,689.53,189.15960748133855,EMERGING_OPPORTUNITY
"OTHER OIL AND OIL PRODCTS OF DISTILATION OF HIGH TEMP. COAL TAR, ETC.",27079900,182.47,663.12,263.41316380774924,EMERGING_OPPORTUNITY
MCHNRY WTH A 360 DGR. RVLVNG SUPR-STRCTR,84295200,181.6,604.1,232.65418502202647,EMERGING_OPPORTUNITY
DUMPERS DESIGNED FR OFF-HIGHWAY USE WTH   NET WT >8 TONS AND MAXM PAY-LOAD >=10 TONS,87041010,173.0,597.26,245.23699421965318,EMERGING_OPPORTUNITY
"DIGITL PROCESNG UNITS EXCL OF SUB HDNGS   847141 AND 847149,WH/NOT CONT ONE/TWO TYPS  OF UNI,LIKE STORG/INPUT/OUTPUT UNI",84715000,61.08,568.84,831.3032089063524,EMERGING_OPPORTUNITY
"FERO-MANGANESE,CARBON CONTNG>2% BY WEIGHT",72021100,250.38,558.08,122.89320233245469,EMERGING_OPPORTUNITY
OTHR COPPR WIRE WTH MAX CRS-SEC DIAMTR>6MM,74081190,32.73,540.67,1551.9095630919646,EMERGING_OPPORTUNITY
OTHERS-OF-OTHER ENGINES:,84079090,0.83,516.81,62166.26506024096,EMERGING_OPPORTUNITY
INSTANT COFFEE NOT FLAVOURED,21011120,221.59,512.4,131.23787174511483,EMERGING_OPPORTUNITY
CARBON BLACKS,28030010,111.75,498.17,345.7897091722595,EMERGING_OPPORTUNITY
"OTHERS-OF-OTHERS-OF-ELCTRCL APARTS FR LINE TELEPHNY/TELGRPHY, INCL TELPHON SETS WTH CORDLS HANDSETCARIER-CURENT LINE SYSTM; VI",85171890,11.86,497.73,4096.711635750422,EMERGING_OPPORTUNITY
OTHERS-OF-OTHER APPRATUS OF HEADING 8536,85369090,241.1,497.67,106.4164247200332,EMERGING_OPPORTUNITY
OTHERS-OF-PARTS OF PUMPS,84139190,238.04,491.87,106.63333893463285,EMERGING_OPPORTUNITY
FERS PRDCT OBTND BY DRCT RDCTN OF IRON ORE,72031000,150.39,480.03,219.1901057251147,EMERGING_OPPORTUNITY
GREY,52053210,60.48,465.1,669.0145502645503,EMERGING_OPPORTUNITY
GREY,52053310,21.73,465.1,2040.358950759319,EMERGING_OPPORTUNITY
GREY,52053410,18.75,465.1,2380.5333333333333,EMERGING_OPPORTUNITY
GREY,52051110,26.7,465.1,1641.9475655430713,EMERGING_OPPORTUNITY
GREY,52054110,0.28,465.1,166007.14285714287,EMERGING_OPPORTUNITY
GREY,52053110,1.43,465.1,32424.475524475525,EMERGING_OPPORTUNITY
GREY,52052110,8.7,465.1,5245.977011494254,EMERGING_OPPORTUNITY
GREY,52053510,4.64,465.1,9923.706896551725,EMERGING_OPPORTUNITY
GREY,52051310,98.56,465.1,371.89529220779224,EMERGING_OPPORTUNITY
GREY,52054410,43.24,465.1,975.6244218316374,EMERGING_OPPORTUNITY
GREY,52051510,0.19,465.1,244689.47368421053,EMERGING_OPPORTUNITY
GREY,52054210,20.14,465.1,2209.3346573982126,EMERGING_OPPORTUNITY
GREY,52054310,12.67,465.1,3570.876085240726,EMERGING_OPPORTUNITY
GREY,52051410,59.1,465.1,686.9712351945855,EMERGING_OPPORTUNITY
GREY,52054610,5.23,465.1,8792.925430210325,EMERGING_OPPORTUNITY
GREY,52054810,28.31,465.1,1542.882373719534,EMERGING_OPPORTUNITY
OF COTTON: OTHER,62046290,152.24,454.75,198.70599054125066,EMERGING_OPPORTUNITY
"OTHER MCHNCL SHOVLS,EXCVTRS AND SHOVL LOADRS",84295900,172.95,450.73,160.6128938999711,EMERGING_OPPORTUNITY
PLSTIC INSLTD CNDCTRS FR <= 1000V NOT FITTED WITH CONNECTORS,85444920,176.85,434.77,145.84110828385636,EMERGING_OPPORTUNITY
COFFEE ROB CHERRY OTHER GRADE,09011149,116.83,405.47,247.05983052298217,EMERGING_OPPORTUNITY
OTHER LEAD-ACID ACCUMULATORS,85072000,177.86,404.8,127.59473743393679,EMERGING_OPPORTUNITY
OTHER SALTS,25010090,135.93,401.8,195.5933200912234,EMERGING_OPPORTUNITY
BRIGHT BARS-NCKL CHROMIUM AUSTENITIC TYPE,72223012,112.74,399.93,254.7365620010644,EMERGING_OPPORTUNITY
BRIGHT BARS-NCKL CHROMIUM AUSTENITIC TYPE,72221112,7.15,399.93,5493.426573426574,EMERGING_OPPORTUNITY
"PRTS OF OTHR MACNRY OF HD 8426,8429,8430",84314990,156.91,382.38,143.693837231534,EMERGING_OPPORTUNITY
"BANANAS, FRESH",08039010,99.94,378.2,278.42705623374025,EMERGING_OPPORTUNITY
SCOOTERS WTH CYLNDR CPCTY >75 BT<=250 CC,87112019,151.74,377.11,148.5237906946092,EMERGING_OPPORTUNITY
POLYPROPYLENE,39169027,0.14,376.68,268957.14285714284,EMERGING_OPPORTUNITY
