year,strategy,n_eligible,portfolio_hit_rate,portfolio_mean_excess
2019,thompson_sampling,2392,53.333333333333336,-1.7394104
2020,thompson_sampling,2639,53.333333333333336,21.091784
2021,thompson_sampling,2930,30.0,-19.810608
2022,thompson_sampling,3044,23.333333333333332,-17.221544
2023,thompson_sampling,3318,33.33333333333333,-8.009877
2024,thompson_sampling,3579,26.666666666666668,-9.129103
2025,thompson_sampling,3800,23.333333333333332,-9.485892
2019,random,2392,40.78333333333333,-3.0916898
2020,random,2639,33.4,-0.82052124
2021,random,2930,36.88333333333333,-7.709928
2022,random,3044,52.61666666666666,3.5293078
2023,random,3318,28.75,-9.014707
2024,random,3579,27.566666666666666,-11.611024
2025,random,3800,33.38333333333333,-5.4723897
2019,equal_weight_universe,2392,39.59030100334448,-3.748608
2020,equal_weight_universe,2639,33.64910951117848,-0.8934735
2021,equal_weight_universe,2930,37.50853242320819,-6.9684763
2022,equal_weight_universe,3044,52.6281208935611,3.9128475
2023,equal_weight_universe,3318,29.324894514767934,-9.262393
2024,equal_weight_universe,3579,27.270187203129364,-11.899645
2025,equal_weight_universe,3800,33.39473684210526,-4.635972
