effect,coef,se,p,horizon,n,p_fdr
low_beta,-21.25068238645654,1.1392293141705172,1.1814228842111582e-77,xret_T+126d,55410,1.0376830999654674e-74
darvas,16.93439544088635,1.0852911565951455,6.885578924808941e-55,xret_T+126d,55410,2.0159444963190623e-52
reversal_weekly,17.62339210492823,1.229725006462029,1.3975610749756479e-46,xret_T+126d,55410,3.682573432560832e-44
golden_cross:reversal_monthly,8.032673972076068,0.5970901779650705,2.954977532583558e-41,xret_T+126d,55410,5.561689855969768e-39
new_highs:reversal_weekly,-12.351112963655847,0.9242393839625853,9.874937452264083e-41,xret_T+126d,55410,1.7346973457810573e-38
darvas:below_200dma,-12.37837627770671,0.9862272034330783,3.91323586695216e-36,xret_T+126d,55410,6.444610318386839e-34
new_highs,14.018059781357579,1.2026415768698142,2.1370978222185533e-31,xret_T+126d,55410,2.681548934069471e-29
darvas:reversal_monthly,7.124896486994006,0.652848591451019,9.929997584363223e-28,xret_T+126d,55410,1.0902309847832122e-25
below_200dma:low_beta,8.618741636198738,0.817339458859456,5.364469584488458e-26,xret_T+126d,55410,5.0483490554025305e-24
golden_cross:reversal_weekly,-9.087905310001721,0.8716682352542822,1.88909579316922e-25,xret_T+126d,55410,1.7164715224141014e-23
reversal_monthly,-17.152522477704814,1.7319036041662177,4.005308296167417e-23,xret_T+126d,55410,3.1981779880003463e-21
new_highs:low_beta,6.328164692714303,0.6498434412093411,2.0763358126449954e-22,xret_T+126d,55410,1.5631842475198752e-20
new_highs:reversal_monthly,6.292901693673629,0.6544545529915646,6.878058257524355e-22,xret_T+126d,55410,5.034356530160187e-20
golden_cross,10.524178423160787,1.3565563707233428,8.627208320398103e-15,xret_T+126d,55410,4.4573909655390197e-13
darvas:reversal_weekly,-6.783242610353724,0.9351001728935011,4.0455715587604693e-13,xret_T+126d,55410,1.870189659181375e-11
new_highs:net_debt_ebitda,-5.588341276871319,0.8780357709257347,1.958068636419517e-10,xret_T+126d,55410,7.700762473082728e-09
