Symbol,ebit,capital_employed,cash,roace,years,roace_ex_cash,cash_pct_of_ce,roace_cv,f_score,f_max,f_tested,turnover,tier,roace_pct,roace_ex_cash_pct
IOC,657799600000.0,3177491600000.0,162096600000.0,0.2070185173738933,4,0.21814707525879695,5.101401369558302,0.4206273663115931,5.0,7,7.0,1812653422.6350002,LARGE,20.70185173738933,21.814707525879694
ADANIGREEN,78610000000.0,1238650000000.0,40730000000.0,0.06346425543938966,4,0.0656220782689996,3.288257376983006,0.15768013107309287,4.0,7,7.0,4443617474.700001,LARGE,6.346425543938966,6.56220782689996
GAIL,106894000000.0,1172551800000.0,33089100000.0,0.09116356309375842,4,0.0938108812162083,2.821973408765395,0.22936346033665536,3.0,7,7.0,1421215363.88,LARGE,9.116356309375842,9.38108812162083
RVNL,16002200000.0,145762300000.0,46638200000.0,0.10978284508408553,4,0.1614360180823836,31.996064826090148,0.16414000599096992,2.0,7,7.0,1733251643.52,LARGE,10.978284508408553,16.14360180823836
NMDC,102706800000.0,362141100000.0,136029100000.0,0.28360989680541643,4,0.4542297622417209,37.56245838983755,0.045688180862944267,4.0,7,7.0,1987322358.0949998,LARGE,28.360989680541643,45.42297622417209
JSWSTEEL,375500000000.0,2002990000000.0,496390000000.0,0.18746973274953943,4,0.24923669188902164,24.78245023689584,0.38301647504686,6.0,7,7.0,1918411282.2,LARGE,18.746973274953945,24.923669188902164
PAYTM,6000000000.0,163190000000.0,171200000000.0,0.03676695875972792,4,,104.90838899442367,1.0853048720242289,3.5,7,6.0,2270517205.1,LARGE,3.676695875972792,
BEL,80596900000.0,252777700000.0,87320700000.0,0.318844977227026,4,0.4871168944196982,34.544463376318404,0.0888057521681441,5.0,7,7.0,4825846880.6,LARGE,31.884497722702598,48.71168944196982
TATACONSUM,23098100000.0,278473300000.0,43199200000.0,0.08294547448534563,4,0.09817527726171305,15.512869635975873,0.09071167485744278,6.0,7,7.0,1716719223.5,LARGE,8.294547448534564,9.817527726171305
GROWW,28673540000.0,97749100000.0,104365710000.0,0.29333814838192884,1,,106.7689728089568,,,7,,6512033348.525,LARGE,29.333814838192886,
ANGELONE,16749670000.0,62369630000.0,159818450000.0,0.26855490404544646,4,,256.24402453565943,0.30986114718133,3.0,7,7.0,2153555987.75,LARGE,26.855490404544646,
NAUKRI,21488180000.0,455773590000.0,46901050000.0,0.04714661066693224,4,0.05255471546218291,10.290427315018407,0.4877021168622767,5.0,7,7.0,1543881955.6,LARGE,4.714661066693224,5.255471546218291
GRASIM,180126700000.0,4499547600000.0,373508500000.0,0.04003218012406403,4,0.04365608168861027,8.301023418443224,0.206527108702948,4.0,7,7.0,2125372494.35,LARGE,4.003218012406403,4.365608168861027
POLICYBZR,7444600000.0,77145500000.0,25516500000.0,0.09650076802924344,4,0.1441941544480815,33.07581129165019,2.8616713167788626,4.666666666666667,7,6.0,2661638181.1499996,LARGE,9.650076802924344,14.41941544480815
ABB,22493300000.0,79050300000.0,58277700000.0,0.28454414467750283,4,1.0828350808276288,73.72230086413335,0.1093578782437122,3.5,7,6.0,2202653122.0,LARGE,28.454414467750283,108.28350808276288
INDHOTEL,31471300000.0,180617900000.0,43148800000.0,0.17424242004806834,4,0.22893362944836332,23.88954804590243,0.12040253518569273,6.0,7,7.0,1567180356.25,LARGE,17.424242004806835,22.893362944836333
ONGC,806518000000.0,6230166000000.0,451536400000.0,0.12945369352919328,4,0.13956907706976063,7.247582167152529,0.14417247087559948,6.0,7,7.0,3657357396.425,LARGE,12.945369352919329,13.956907706976063
NTPC,409344500000.0,4415210200000.0,278845100000.0,0.09271234696821457,4,0.09896237157595203,6.31555661834628,0.04038915289259788,5.0,7,7.0,3997535897.6,LARGE,9.271234696821457,9.896237157595204
CUPID,1452729000.0,4706263000.0,2024832000.0,0.30867994415101746,4,0.5417737767632282,43.02419988003221,0.2644547833733831,4.666666666666667,7,6.0,2967474106.9700003,LARGE,30.867994415101744,54.17737767632283
CGPOWER,16384000000.0,84678300000.0,29912600000.0,0.19348522584888928,4,0.2991653534968055,35.32498881059256,0.3605479487163635,4.0,7,7.0,3147083811.7,LARGE,19.348522584888926,29.91653534968055
LODHA,50757000000.0,278299000000.0,35107000000.0,0.18238297658274014,4,0.20871163525115957,12.614849496404945,0.18088769588769585,5.0,7,7.0,2084023121.125,LARGE,18.238297658274014,20.871163525115957
HDFCAMC,37224700000.0,96778900000.0,25412400000.0,0.38463652717689495,4,0.521599069591475,26.258202976061927,0.10514603825343889,5.833333333333333,7,6.0,2463123583.2,LARGE,38.46365271768949,52.15990695914749
ETERNAL,10070000000.0,350640000000.0,101510000000.0,0.02871891398585444,4,0.040420663910408224,28.94992014601871,,4.666666666666667,7,6.0,8172697037.13,LARGE,2.871891398585444,4.042066391040822
TORNTPHARM,32568800000.0,359686300000.0,23552100000.0,0.09054779122807846,4,0.09689225315365113,6.547955815942948,0.35553568703099886,3.0,7,7.0,1430743184.35,LARGE,9.054779122807846,9.689225315365114
JPPOWER,11063400000.0,164031000000.0,7549500000.0,0.06744700696819504,4,0.07070100938449593,4.602483676865958,0.27901781966598743,6.0,7,7.0,1644501927.48,LARGE,6.744700696819504,7.070100938449593
DELHIVERY,2845270000.0,108540280000.0,33239360000.0,0.026213954856206378,4,0.03778532851922659,30.623985860364467,3.3622021788628143,5.0,7,7.0,1429827589.6999998,LARGE,2.6213954856206376,3.7785328519226593
ATGL,9944800000.0,73180400000.0,5449200000.0,0.13589431049843947,4,0.14682745913257111,7.446256101360474,0.2042714633770338,3.0,7,7.0,2005429860.4,LARGE,13.589431049843947,14.682745913257111
LENSKART,8587840000.0,119057650000.0,39874790000.0,0.07213177817637086,1,0.10845579459999298,33.49200156394822,,,7,,2446696657.5249996,LARGE,7.213177817637086,10.845579459999298
WAAREEENER,53322900000.0,174076700000.0,81064100000.0,0.30631842170721296,4,0.5732868450080957,46.56803581409804,0.08992058975264722,4.0,7,7.0,2838410708.45,LARGE,30.631842170721296,57.328684500809565
NYKAA,4473500000.0,18531300000.0,6322800000.0,0.24140238407451178,4,0.36642503174018104,34.11957067232196,0.5024279047397363,6.0,7,7.0,1526375992.95,LARGE,24.14023840745118,36.6425031740181
GODREJPROP,24925000000.0,223693200000.0,91469200000.0,0.11142493379324897,4,0.18850586882865442,40.89046962536188,0.18372890721261229,2.0,7,7.0,1308767580.6,LARGE,11.142493379324897,18.850586882865443
MTARTECH,1555040000.0,10165860000.0,2408270000.0,0.15296689114349402,4,0.20045400697897156,23.689781287564458,0.26988198653317774,4.0,7,7.0,8237910269.0,LARGE,15.296689114349402,20.045400697897158
HYUNDAI,73495250000.0,225285740000.0,112151310000.0,0.3262312563591464,4,0.6496276155720235,49.78180598558968,0.3200430984216648,5.0,7,7.0,1418837250.6,LARGE,32.62312563591464,64.96276155720236
