Symbol,t,fwd_ret,price_to_fcf,fcf_to_ebitda,altman_z,altman_zone,intrinsic_growth,mom_12_1,canonical
AD,2017-06-01,-0.11182588338851929,,,,DISTRESS,,,50.0
ADBE,2017-06-01,0.7775497436523438,35.01018472824333,1.0935743453779085,9.965794953593738,SAFE,-0.016339132679054492,,81.81818181818183
ADMA,2017-06-01,0.4109947681427002,,,-6.707112384761411,DISTRESS,,,27.27272727272727
AEE,2017-06-01,0.055033087730407715,225.07150982795878,0.021209386281588447,,DISTRESS,0.07132286383425049,,63.63636363636363
AEHR,2017-06-01,-0.391498863697052,,,-5.318891786254699,DISTRESS,,,18.181818181818183
AEIS,2017-06-01,-0.14825254678726196,27.034034320216083,0.835122892997698,12.67012815340812,SAFE,-0.0026353431340292214,,63.63636363636363
AEMD,2017-06-01,-0.3489583134651184,,,,,,,37.5
AGIO,2017-06-01,0.9975252151489258,71.46540302389826,,3.5781690449309513,SAFE,,,25.0
AIN,2017-06-01,0.26497578620910645,145.8967646749893,0.0608903709564988,2.8509586385719623,GREY,0.004503008766904554,,50.0
AIRT,2017-06-01,0.6794736385345459,15.266870120324707,,5.614056137780558,SAFE,,,80.0
AIT,2017-06-01,0.12746083736419678,14.774808861841006,1.411341357488522,3.7135457463626413,SAFE,-0.0034579825069248962,,60.0
AKAM,2017-06-01,0.5734989643096924,12.210139013724511,0.8632730231667624,5.201672519708385,SAFE,-0.048546931548570094,,54.54545454545454
ALCO,2017-06-01,0.054756999015808105,13.378926694886868,0.43118083163210486,1.5358156012484456,DISTRESS,-0.003098874912748832,,75.0
ALGT,2017-06-01,0.12402832508087158,14.178747030412278,,3.2435282970023356,SAFE,,,72.72727272727273
AMBA,2017-06-01,-0.1596854329109192,17.644575669563913,1.7856105120423582,22.944930184130385,SAFE,0.003085248654868908,,55.55555555555556
AMGN,2017-06-01,0.2091972827911377,9.141647202559993,0.8081351374065048,,DISTRESS,-0.026051304490009985,,72.72727272727273
AMN,2017-06-01,0.5317139625549316,16.051909219481566,0.49669607506372826,3.7598537589396246,SAFE,-0.0106362915792227,,81.81818181818183
AN,2017-06-01,0.15514254570007324,14.965911036257806,,,DISTRESS,,,63.63636363636363
AORT,2017-06-01,0.5,43.82094609509046,0.4476559396106476,4.7117188856306855,SAFE,-0.00967384965492325,,55.55555555555556
APPS,2017-06-01,0.7075471878051758,,,-1.4671529757955106,DISTRESS,,,41.66666666666667
ARMK,2017-06-01,0.008215785026550293,20.851524378954647,0.23678687104443438,,DISTRESS,0.00252747697367405,,72.72727272727273
ARQ,2017-06-01,0.319461464881897,,,2.6373644571742245,GREY,,,50.0
ASTC,2017-06-01,-0.6654205322265625,,,,,,,18.181818181818183
ASUR,2017-06-01,0.13708150386810303,,-0.5057851239669422,-2.7177944990298446,DISTRESS,-0.09051155696117064,,33.33333333333333
ATEC,2017-06-01,1.010101079940796,,,,DISTRESS,,,50.0
ATEN,2017-06-01,-0.23222750425338745,38.44704737667384,,2.1245875325272303,GREY,,,54.54545454545454
ATOS,2017-06-01,-0.45921987295150757,,,,,,,11.11111111111111
ATRC,2017-06-01,0.14299190044403076,,,3.354471393765385,SAFE,,,44.44444444444444
