Symbol,t,fwd_ret,canonical,quality,turnaround,safety
AD,2017-06-01,-0.11182588338851929,50.0,46.15384615384615,47.61904761904761,58.82352941176471
ADBE,2017-06-01,0.7775497436523438,81.81818181818183,66.66666666666666,96.55172413793103,60.0
ADMA,2017-06-01,0.4109947681427002,27.27272727272727,12.5,41.37931034482759,12.0
AEE,2017-06-01,0.055033087730407715,63.63636363636363,70.83333333333334,57.692307692307686,76.66666666666667
AEHR,2017-06-01,-0.391498863697052,18.181818181818183,8.333333333333332,27.586206896551722,8.0
AEIS,2017-06-01,-0.14825254678726196,63.63636363636363,58.333333333333336,58.620689655172406,64.0
AEMD,2017-06-01,-0.3489583134651184,37.5,23.076923076923077,52.38095238095239,35.294117647058826
AGIO,2017-06-01,0.9975252151489258,25.0,23.076923076923077,38.095238095238095,29.411764705882355
AIN,2017-06-01,0.26497578620910645,50.0,64.0,46.666666666666664,54.83870967741935
AIRT,2017-06-01,0.6794736385345459,80.0,91.30434782608695,80.0,79.16666666666666
AIT,2017-06-01,0.12746083736419678,60.0,53.333333333333336,57.692307692307686,62.5
AKAM,2017-06-01,0.5734989643096924,54.54545454545454,58.333333333333336,48.275862068965516,68.0
ALCO,2017-06-01,0.054756999015808105,75.0,76.0,66.66666666666666,90.32258064516128
ALGT,2017-06-01,0.12402832508087158,72.72727272727273,87.5,57.692307692307686,73.33333333333333
AMBA,2017-06-01,-0.1596854329109192,55.55555555555556,50.0,56.00000000000001,61.111111111111114
AMGN,2017-06-01,0.2091972827911377,72.72727272727273,75.0,80.76923076923077,80.0
AMN,2017-06-01,0.5317139625549316,81.81818181818183,91.66666666666666,65.51724137931035,92.0
AN,2017-06-01,0.15514254570007324,63.63636363636363,83.33333333333334,48.275862068965516,72.0
AORT,2017-06-01,0.5,55.55555555555556,50.0,76.0,44.44444444444444
APPS,2017-06-01,0.7075471878051758,41.66666666666667,52.0,43.333333333333336,48.38709677419355
ARMK,2017-06-01,0.008215785026550293,72.72727272727273,75.0,82.75862068965517,76.0
ARQ,2017-06-01,0.319461464881897,50.0,38.46153846153847,42.857142857142854,58.82352941176471
ASTC,2017-06-01,-0.6654205322265625,18.181818181818183,8.333333333333332,17.24137931034483,20.0
ASUR,2017-06-01,0.13708150386810303,33.33333333333333,16.0,40.0,38.70967741935484
ATEC,2017-06-01,1.010101079940796,50.0,32.0,66.66666666666666,38.70967741935484
ATEN,2017-06-01,-0.23222750425338745,54.54545454545454,37.5,89.65517241379311,36.0
ATOS,2017-06-01,-0.45921987295150757,11.11111111111111,7.142857142857142,16.0,5.555555555555555
ATRC,2017-06-01,0.14299190044403076,44.44444444444444,28.57142857142857,52.0,38.88888888888889
AVA,2017-06-01,0.24623525142669678,70.0,73.91304347826086,80.0,75.0
AWRE,2017-06-01,-0.1855669617652893,60.0,60.86956521739131,44.0,83.33333333333334
AWX,2017-06-01,-0.08730161190032959,44.44444444444444,35.714285714285715,60.0,55.55555555555556
AXGN,2017-06-01,2.3434343338012695,50.0,33.33333333333333,73.07692307692307,41.66666666666667
AXTI,2017-06-01,0.12030065059661865,77.77777777777779,64.28571428571429,96.0,72.22222222222221
BA,2017-06-01,0.9451535940170288,54.54545454545454,58.333333333333336,48.275862068965516,68.0
BBGI,2017-06-01,0.24439525604248047,40.0,34.78260869565217,60.0,29.166666666666668
BCDA,2017-06-01,-0.6470588445663452,25.0,15.384615384615385,23.809523809523807,29.411764705882355
BCHT,2017-06-01,-0.3829786777496338,70.0,56.52173913043478,92.0,54.166666666666664
BCPC,2017-06-01,0.229170560836792,60.0,53.333333333333336,57.692307692307686,70.83333333333334
BCRX,2017-06-01,0.1840606927871704,37.5,23.076923076923077,28.57142857142857,52.94117647058824
BFAM,2017-06-01,0.3041415214538574,58.333333333333336,68.0,60.0,58.06451612903226
BIIB,2017-06-01,0.17715346813201904,58.333333333333336,72.0,36.666666666666664,74.19354838709677
BKD,2017-06-01,-0.4260185956954956,58.333333333333336,40.0,80.0,51.61290322580645
BLBD,2017-06-01,0.04143643379211426,70.0,80.0,57.692307692307686,75.0
BLMN,2017-06-01,0.04311966896057129,63.63636363636363,62.5,62.06896551724138,72.0
BRFH,2017-06-01,-0.1710526943206787,44.44444444444444,28.57142857142857,60.0,38.88888888888889
BRKR,2017-06-01,0.11934447288513184,66.66666666666666,57.14285714285714,68.0,83.33333333333334
BRN,2017-06-01,-0.09677422046661377,50.0,38.46153846153847,47.61904761904761,76.47058823529412
BTU,2017-06-01,0.8898054361343384,50.0,30.434782608695656,64.0,45.83333333333333
BWA,2017-06-01,0.14086854457855225,66.66666666666666,40.0,66.66666666666666,70.96774193548387
BWXT,2017-06-01,0.3925461769104004,66.66666666666666,60.0,80.0,45.16129032258064
CABO,2017-06-01,-0.09894448518753052,87.5,69.23076923076923,100.0,94.11764705882352
CAG,2017-06-01,-0.052963316440582275,63.63636363636363,54.166666666666664,69.23076923076923,60.0
CAH,2017-06-01,-0.27865803241729736,81.81818181818183,91.66666666666666,82.75862068965517,80.0
CAL,2017-06-01,0.2653692960739136,54.54545454545454,58.333333333333336,48.275862068965516,68.0
CBOE,2017-06-01,0.1450866460800171,55.55555555555556,71.42857142857143,40.0,61.111111111111114
CBT,2017-06-01,0.1941835880279541,75.0,52.0,86.66666666666667,74.19354838709677
CBZ,2017-06-01,0.39534878730773926,58.333333333333336,68.0,66.66666666666666,64.51612903225806
CCL,2017-06-01,-0.007799923419952393,75.0,76.0,93.33333333333333,64.51612903225806
CCO,2017-06-01,0.1444617509841919,72.72727272727273,50.0,96.15384615384616,56.666666666666664
CDXS,2017-06-01,2.762500047683716,30.0,21.73913043478261,48.0,12.5
CDZI,2017-06-01,-0.15946847200393677,63.63636363636363,62.5,76.92307692307693,66.66666666666666
CHEF,2017-06-01,0.7788461446762085,58.333333333333336,60.0,50.0,67.74193548387096
CHH,2017-06-01,0.25941216945648193,60.0,73.91304347826086,40.0,70.83333333333334
CHRW,2017-06-01,0.32357311248779297,63.63636363636363,75.0,48.275862068965516,72.0
CHTR,2017-06-01,-0.24400246143341064,63.63636363636363,62.5,65.38461538461539,76.66666666666667
CKX,2017-06-01,-0.0771140456199646,50.0,46.15384615384615,47.61904761904761,58.82352941176471
CL,2017-06-01,-0.16432350873947144,83.33333333333334,92.0,83.33333333333334,77.41935483870968
CLF,2017-06-01,0.47198641300201416,83.33333333333334,68.0,96.66666666666667,67.74193548387096
CLFD,2017-06-01,-0.1811320185661316,66.66666666666666,78.57142857142857,76.0,50.0
CLPT,2017-06-01,-0.30000001192092896,44.44444444444444,28.57142857142857,45.45454545454545,52.17391304347826
CMCSA,2017-06-01,-0.23610275983810425,60.0,60.86956521739131,44.0,83.33333333333334
CME,2017-06-01,0.4844944477081299,80.0,78.26086956521739,96.0,79.16666666666666
CMS,2017-06-01,-0.023629069328308105,55.55555555555556,50.0,50.0,69.56521739130434
CNC,2017-06-01,0.562391996383667,36.36363636363637,50.0,34.61538461538461,40.0
CNP,2017-06-01,-0.07729965448379517,66.66666666666666,57.14285714285714,77.27272727272727,73.91304347826086
CNTY,2017-06-01,0.06962025165557861,50.0,40.0,50.0,48.38709677419355
CODI,2017-06-01,0.11721396446228027,40.0,40.0,50.0,29.166666666666668
COHR,2017-06-01,0.4822580814361572,54.54545454545454,66.66666666666666,53.84615384615385,56.666666666666664
COHU,2017-06-01,0.3163313865661621,63.63636363636363,62.5,79.3103448275862,60.0
COR,2017-06-01,-0.08934032917022705,75.0,64.0,83.33333333333334,64.51612903225806
CP,2017-06-01,0.21754276752471924,62.5,53.84615384615385,76.19047619047619,64.70588235294117
CPIX,2017-06-01,-0.1343930959701538,40.0,21.73913043478261,52.0,41.66666666666667
CPK,2017-06-01,0.0820993185043335,63.63636363636363,70.83333333333334,57.692307692307686,76.66666666666667
CRIS,2017-06-01,-0.7121387720108032,18.181818181818183,8.333333333333332,30.76923076923077,6.666666666666667
CRM,2017-06-01,0.44941699504852295,54.54545454545454,41.66666666666667,68.96551724137932,48.0
CRMD,2017-06-01,-0.3953489065170288,27.27272727272727,20.833333333333336,41.37931034482759,12.0
CSGP,2017-06-01,0.47024714946746826,83.33333333333334,56.00000000000001,100.0,77.41935483870968
CTAS,2017-06-01,0.4699462652206421,83.33333333333334,92.0,83.33333333333334,83.87096774193549
CVCO,2017-06-01,0.9479537010192871,72.72727272727273,75.0,82.75862068965517,76.0
CVGI,2017-06-01,-0.050420165061950684,41.66666666666667,52.0,33.33333333333333,51.61290322580645
CVLG,2017-06-01,0.6932611465454102,54.54545454545454,33.33333333333333,46.15384615384615,66.66666666666666
CVLT,2017-06-01,0.21681416034698486,54.54545454545454,33.33333333333333,68.96551724137932,48.0
CVV,2017-06-01,-0.3657689094543457,30.0,26.666666666666668,34.61538461538461,45.83333333333333
CWCO,2017-06-01,0.11824548244476318,77.77777777777779,64.28571428571429,76.0,88.88888888888889
CXW,2017-06-01,-0.20345264673233032,81.81818181818183,79.16666666666666,96.15384615384616,76.66666666666667
D,2017-06-01,-0.18749988079071045,44.44444444444444,42.857142857142854,68.18181818181817,30.434782608695656
DAIO,2017-06-01,-0.15826493501663208,44.44444444444444,42.857142857142854,40.0,55.55555555555556
DAKT,2017-06-01,-0.15739190578460693,36.36363636363637,25.0,44.827586206896555,28.000000000000004
DAL,2017-06-01,0.11854958534240723,81.81818181818183,66.66666666666666,96.15384615384616,66.66666666666666
DGII,2017-06-01,0.22797942161560059,66.66666666666666,57.14285714285714,80.0,66.66666666666666
DLB,2017-06-01,0.23213613033294678,45.45454545454545,54.166666666666664,34.48275862068966,64.0
DTE,2017-06-01,-0.05573338270187378,63.63636363636363,62.5,65.38461538461539,70.0
DVN,2017-06-01,0.21658146381378174,63.63636363636363,41.66666666666667,92.3076923076923,60.0
DWSN,2017-06-01,0.8520481586456299,50.0,38.46153846153847,47.61904761904761,76.47058823529412
EAT,2017-06-01,0.1258028745651245,72.72727272727273,87.5,69.23076923076923,63.33333333333333
EBS,2017-06-01,0.6270338296890259,66.66666666666666,57.14285714285714,77.27272727272727,73.91304347826086
ED,2017-06-01,-0.062450110912323,55.55555555555556,50.0,72.72727272727273,47.82608695652174
EDSA,2017-06-01,-0.7886658906936646,37.5,23.076923076923077,42.857142857142854,35.294117647058826
EGAN,2017-06-01,7.633333206176758,60.0,46.666666666666664,76.92307692307693,62.5
EGHT,2017-06-01,0.37769782543182373,37.5,30.76923076923077,57.14285714285714,35.294117647058826
EHTH,2017-06-01,0.1579514741897583,63.63636363636363,66.66666666666666,72.41379310344827,72.0
ELSE,2017-06-01,0.028571486473083496,36.36363636363637,25.0,24.137931034482758,52.0
ELV,2017-06-01,0.19599699974060059,72.72727272727273,75.0,73.07692307692307,80.0
EME,2017-06-01,0.19568419456481934,63.63636363636363,62.5,51.724137931034484,84.0
EMN,2017-06-01,0.33442699909210205,75.0,76.0,73.33333333333333,90.32258064516128
ENS,2017-06-01,0.0782698392868042,91.66666666666666,84.0,100.0,96.7741935483871
EPAM,2017-06-01,0.43418920040130615,63.63636363636363,75.0,48.275862068965516,72.0
EQIX,2017-06-01,-0.0675618052482605,50.0,56.00000000000001,46.666666666666664,61.29032258064516
ERNA,2017-06-01,-0.39253729581832886,50.0,38.46153846153847,71.42857142857143,58.82352941176471
ES,2017-06-01,-0.07539010047912598,88.88888888888889,71.42857142857143,100.0,95.65217391304348
ESCA,2017-06-01,0.21881020069122314,63.63636363636363,62.5,57.692307692307686,70.0
ETSY,2017-06-01,1.3335793018341064,55.55555555555556,42.857142857142854,88.0,44.44444444444444
EVTC,2017-06-01,0.30152952671051025,60.0,53.333333333333336,57.692307692307686,70.83333333333334
EXEL,2017-06-01,0.07974815368652344,54.54545454545454,37.5,88.46153846153845,46.666666666666664
EXPD,2017-06-01,0.41357719898223877,70.0,78.26086956521739,44.0,87.5
EXPO,2017-06-01,0.728989839553833,87.5,92.3076923076923,80.95238095238095,94.11764705882352
EZPW,2017-06-01,0.5028902292251587,50.0,28.000000000000004,60.0,48.38709677419355
FABC,2017-06-01,-0.7185314893722534,55.55555555555556,35.714285714285715,64.0,61.111111111111114
FBIO,2017-06-01,-0.1096605658531189,44.44444444444444,28.57142857142857,68.18181818181817,39.130434782608695
FCEL,2017-06-01,0.910891056060791,25.0,36.0,16.666666666666664,35.483870967741936
FDS,2017-06-01,0.24399793148040771,70.0,78.26086956521739,52.0,87.5
FDX,2017-06-01,0.289898157119751,45.45454545454545,29.166666666666668,61.53846153846154,36.666666666666664
FE,2017-06-01,0.21653223037719727,30.0,17.391304347826086,48.0,25.0
FEIM,2017-06-01,-0.1642857789993286,45.45454545454545,29.166666666666668,48.275862068965516,44.0
FF,2017-06-01,-8.744001388549805e-05,55.55555555555556,50.0,44.0,77.77777777777779
FHI,2017-06-01,-0.06362158060073853,90.0,95.65217391304348,96.0,83.33333333333334
FN,2017-06-01,-0.04568260908126831,33.33333333333333,35.714285714285715,36.0,33.33333333333333
FSS,2017-06-01,0.5157567262649536,45.45454545454545,54.166666666666664,24.137931034482758,76.0
FTEK,2017-06-01,0.3068181276321411,9.090909090909092,4.166666666666666,13.793103448275861,4.0
FTFT,2017-06-01,-0.18959105014801025,9.090909090909092,4.166666666666666,3.4482758620689653,16.0
FTK,2017-06-01,-0.6884422302246094,40.0,33.33333333333333,38.46153846153847,62.5
FTLF,2017-06-01,-0.2962963581085205,58.333333333333336,32.0,60.0,58.06451612903226
FWRD,2017-06-01,0.15752863883972168,72.72727272727273,66.66666666666666,61.53846153846154,90.0
GAIA,2017-06-01,0.7136363983154297,33.33333333333333,28.57142857142857,48.0,33.33333333333333
GBR,2017-06-01,-0.014285683631896973,50.0,38.46153846153847,42.857142857142854,58.82352941176471
GCTK,2017-06-01,-0.1111111044883728,37.5,23.076923076923077,66.66666666666666,17.647058823529413
GD,2017-06-01,0.02145099639892578,77.77777777777779,85.71428571428571,77.27272727272727,78.26086956521739
GEO,2017-06-01,-0.1122581958770752,54.54545454545454,62.5,42.30769230769231,63.33333333333333
GERN,2017-06-01,0.48888885974884033,25.0,15.384615384615385,23.809523809523807,29.411764705882355
GHC,2017-06-01,-0.028921782970428467,54.54545454545454,41.66666666666667,76.92307692307693,40.0
GM,2017-06-01,0.3064659833908081,55.55555555555556,50.0,56.00000000000001,61.111111111111114
GNSS,2017-06-01,0.2095808982849121,33.33333333333333,21.428571428571427,24.0,50.0
GOOG,2017-06-01,0.15776395797729492,80.0,86.66666666666667,80.76923076923077,70.83333333333334
GOOGL,2017-06-01,0.14844822883605957,80.0,86.66666666666667,80.76923076923077,70.83333333333334
GPI,2017-06-01,0.16087746620178223,81.81818181818183,79.16666666666666,96.55172413793103,80.0
GPN,2017-06-01,0.21582555770874023,36.36363636363637,25.0,38.46153846153847,33.33333333333333
GPRE,2017-06-01,-0.048616886138916016,36.36363636363637,25.0,57.692307692307686,23.333333333333332
GPUS,2017-06-01,0.5609755516052246,11.11111111111111,7.142857142857142,16.0,5.555555555555555
GRC,2017-06-01,0.3912256956100464,54.54545454545454,58.333333333333336,48.275862068965516,68.0
GTIM,2017-06-01,0.11940300464630127,37.5,30.76923076923077,66.66666666666666,35.294117647058826
GTLS,2017-06-01,0.928247332572937,70.0,60.0,80.76923076923077,66.66666666666666
GURE,2017-06-01,-0.19209039211273193,72.72727272727273,75.0,82.75862068965517,76.0
HAE,2017-06-01,1.1689705848693848,50.0,46.666666666666664,42.30769230769231,58.333333333333336
HALO,2017-06-01,0.5187908411026001,27.27272727272727,37.5,19.230769230769234,36.666666666666664
HBIO,2017-06-01,0.8775510787963867,70.0,53.333333333333336,92.3076923076923,75.0
HDSN,2017-06-01,-0.7451456785202026,70.0,80.0,65.38461538461539,75.0
HL,2017-06-01,-0.34947311878204346,75.0,52.0,96.66666666666667,64.51612903225806
HLIO,2017-06-01,0.16819512844085693,66.66666666666666,78.57142857142857,44.0,83.33333333333334
HLT,2017-06-01,0.25037145614624023,70.0,65.21739130434783,60.0,87.5
HOG,2017-06-01,-0.21259909868240356,63.63636363636363,62.5,57.692307692307686,76.66666666666667
HQY,2017-06-01,0.6035826206207275,90.9090909090909,95.83333333333334,96.55172413793103,84.0
HRL,2017-06-01,0.07836902141571045,80.0,86.66666666666667,80.76923076923077,79.16666666666666
HTLD,2017-06-01,-0.022965550422668457,60.0,60.86956521739131,44.0,83.33333333333334
HUM,2017-06-01,0.24115073680877686,63.63636363636363,62.5,46.15384615384615,86.66666666666667
HUN,2017-06-01,0.331784725189209,75.0,76.0,83.33333333333334,80.64516129032258
HURC,2017-06-01,0.6167612075805664,45.45454545454545,50.0,24.137931034482758,64.0
ICE,2017-06-01,0.20966708660125732,81.81818181818183,79.16666666666666,96.15384615384616,83.33333333333334
ICFI,2017-06-01,0.5051560401916504,83.33333333333334,80.0,86.66666666666667,93.54838709677419
ICUI,2017-06-01,0.7943583726882935,72.72727272727273,75.0,82.75862068965517,76.0
IDCC,2017-06-01,0.0030672550201416016,90.9090909090909,70.83333333333334,100.0,80.0
IDN,2017-06-01,-0.4452381134033203,36.36363636363637,50.0,41.37931034482759,36.0
IDR,2017-06-01,0.7073171138763428,10.0,4.3478260869565215,16.0,4.166666666666666
IDT,2017-06-01,-0.6258233785629272,66.66666666666666,78.57142857142857,44.0,83.33333333333334
IESC,2017-06-01,0.13099050521850586,41.66666666666667,28.000000000000004,53.333333333333336,35.483870967741936
IEX,2017-06-01,0.2964038848876953,41.66666666666667,52.0,33.33333333333333,51.61290322580645
IGC,2017-06-01,0.34883713722229004,41.66666666666667,52.0,60.0,32.25806451612903
IHT,2017-06-01,-0.05560845136642456,18.181818181818183,8.333333333333332,30.76923076923077,6.666666666666667
IMMR,2017-06-01,0.7746474742889404,27.27272727272727,16.666666666666664,41.37931034482759,24.0
INO,2017-06-01,-0.3913612961769104,20.0,8.695652173913043,32.0,8.333333333333332
INSG,2017-06-01,0.7075471878051758,33.33333333333333,24.0,53.333333333333336,12.903225806451612
INVE,2017-06-01,-0.21636366844177246,33.33333333333333,16.0,60.0,12.903225806451612
INVX,2017-06-01,-0.04468721151351929,36.36363636363637,25.0,34.48275862068966,40.0
IONS,2017-06-01,-0.03358900547027588,25.0,15.384615384615385,23.809523809523807,29.411764705882355
IPDN,2017-06-01,-0.6361445784568787,37.5,23.076923076923077,28.57142857142857,52.94117647058824
IPM,2017-06-01,0.684636116027832,44.44444444444444,28.57142857142857,48.0,55.55555555555556
IPWR,2017-06-01,-0.5120967626571655,22.22222222222222,14.285714285714285,20.0,27.77777777777778
IRIX,2017-06-01,-0.21577221155166626,11.11111111111111,14.285714285714285,4.0,5.555555555555555
IRMD,2017-06-01,1.266667127609253,55.55555555555556,71.42857142857143,40.0,61.111111111111114
ITP,2017-06-01,0.08333325386047363,54.54545454545454,58.333333333333336,48.275862068965516,68.0
J,2017-06-01,0.24180197715759277,54.54545454545454,58.333333333333336,42.30769230769231,73.33333333333333
JACK,2017-06-01,-0.23429018259048462,81.81818181818183,91.66666666666666,92.3076923076923,66.66666666666666
JAZZ,2017-06-01,0.14344072341918945,45.45454545454545,37.5,53.84615384615385,36.666666666666664
JBHT,2017-06-01,0.5204706192016602,81.81818181818183,83.33333333333334,61.53846153846154,93.33333333333333
JBTM,2017-06-01,0.007508039474487305,50.0,56.00000000000001,36.666666666666664,64.51612903225806
JJSF,2017-06-01,0.08492743968963623,72.72727272727273,79.16666666666666,58.620689655172406,88.0
JKHY,2017-06-01,0.20170855522155762,90.9090909090909,95.83333333333334,96.55172413793103,84.0
KBR,2017-06-01,0.3123267889022827,45.45454545454545,33.33333333333333,48.275862068965516,56.00000000000001
KEX,2017-06-01,0.3641704320907593,66.66666666666666,57.14285714285714,54.54545454545454,86.95652173913044
KFY,2017-06-01,0.7022650241851807,33.33333333333333,35.714285714285715,36.0,33.33333333333333
KMI,2017-06-01,-0.08090603351593018,72.72727272727273,75.0,80.76923076923077,80.0
KMT,2017-06-01,-0.025505125522613525,36.36363636363637,20.833333333333336,51.724137931034484,40.0
KOPN,2017-06-01,0.016806721687316895,20.0,34.78260869565217,4.0,41.66666666666667
KVHI,2017-06-01,0.14795911312103271,80.0,66.66666666666666,96.15384615384616,79.16666666666666
LAB,2017-06-01,0.15082645416259766,18.181818181818183,8.333333333333332,27.586206896551722,8.0
LFVN,2017-06-01,0.14439141750335693,58.333333333333336,72.0,26.666666666666668,83.87096774193549
LGND,2017-06-01,0.7881455421447754,37.5,30.76923076923077,57.14285714285714,35.294117647058826
LH,2017-06-01,0.28401505947113037,58.333333333333336,60.0,66.66666666666666,64.51612903225806
LINC,2017-06-01,-0.45348840951919556,25.0,20.0,40.0,9.67741935483871
LIND,2017-06-01,0.20240485668182373,58.333333333333336,44.0,63.33333333333333,58.06451612903226
LMNR,2017-06-01,0.29581642150878906,75.0,52.0,86.66666666666667,74.19354838709677
LNG,2017-06-01,0.33982932567596436,54.54545454545454,33.33333333333333,76.92307692307693,40.0
LNT,2017-06-01,0.007039189338684082,45.45454545454545,54.166666666666664,38.46153846153847,53.333333333333336
LOAN,2017-06-01,0.5542134046554565,75.0,61.53846153846154,95.23809523809523,70.58823529411765
LODE,2017-06-01,-0.550000011920929,40.0,52.17391304347826,36.0,50.0
LPSN,2017-06-01,0.9796954393386841,27.27272727272727,16.666666666666664,41.37931034482759,24.0
LRN,2017-06-01,-0.15480518341064453,37.5,38.46153846153847,42.857142857142854,35.294117647058826
LSCC,2017-06-01,-0.15273773670196533,50.0,28.000000000000004,76.66666666666667,45.16129032258064
LTBR,2017-06-01,-0.5043859481811523,54.54545454545454,33.33333333333333,68.96551724137932,48.0
LUV,2017-06-01,-0.14760887622833252,80.0,91.30434782608695,60.0,91.66666666666666
LYTS,2017-06-01,-0.368660569190979,54.54545454545454,41.66666666666667,79.3103448275862,36.0
LYV,2017-06-01,0.2530916929244995,70.0,47.82608695652174,96.0,54.166666666666664
MAR,2017-06-01,0.28726255893707275,40.0,26.08695652173913,40.0,41.66666666666667
MCD,2017-06-01,0.0703272819519043,81.81818181818183,91.66666666666666,92.3076923076923,66.66666666666666
MCO,2017-06-01,0.46911168098449707,63.63636363636363,75.0,42.30769230769231,76.66666666666667
MCS,2017-06-01,-0.03780078887939453,63.63636363636363,70.83333333333334,76.92307692307693,60.0
MDLZ,2017-06-01,-0.140156090259552,45.45454545454545,29.166666666666668,48.275862068965516,44.0
MED,2017-06-01,2.5993430614471436,72.72727272727273,79.16666666666666,51.724137931034484,88.0
MEI,2017-06-01,0.01724386215209961,81.81818181818183,91.66666666666666,65.51724137931035,92.0
MERC,2017-06-01,0.41915643215179443,63.63636363636363,62.5,46.15384615384615,86.66666666666667
META,2017-06-01,0.2802084684371948,90.9090909090909,95.83333333333334,96.55172413793103,84.0
MGNI,2017-06-01,-0.5256916880607605,36.36363636363637,20.833333333333336,44.827586206896555,40.0
MGPI,2017-06-01,0.75019371509552,81.81818181818183,91.66666666666666,72.41379310344827,92.0
MHH,2017-06-01,1.4208142757415771,58.333333333333336,48.0,50.0,58.06451612903226
MITK,2017-06-01,0.09375,55.55555555555556,50.0,56.00000000000001,61.111111111111114
MLP,2017-06-01,-0.3952879309654236,100.0,100.0,100.0,100.0
MMS,2017-06-01,-0.01529914140701294,83.33333333333334,84.0,73.33333333333333,93.54838709677419
MOD,2017-06-01,0.14150941371917725,45.45454545454545,25.0,48.275862068965516,56.00000000000001
MOH,2017-06-01,0.2774444818496704,50.0,56.00000000000001,46.666666666666664,61.29032258064516
MRCY,2017-06-01,-0.04980844259262085,45.45454545454545,37.5,65.51724137931035,32.0
MRTN,2017-06-01,0.5505801439285278,54.54545454545454,58.333333333333336,42.30769230769231,73.33333333333333
MSA,2017-06-01,0.16618049144744873,91.66666666666666,84.0,100.0,96.7741935483871
MSCI,2017-06-01,0.5891205072402954,83.33333333333334,92.0,93.33333333333333,67.74193548387096
MSI,2017-06-01,0.3014543056488037,66.66666666666666,60.0,63.33333333333333,61.29032258064516
MSTR,2017-06-01,-0.2985909581184387,72.72727272727273,62.5,65.51724137931035,68.0
MTDR,2017-06-01,0.12579989433288574,50.0,34.78260869565217,76.0,45.83333333333333
MVIS,2017-06-01,-0.260869562625885,63.63636363636363,62.5,79.3103448275862,60.0
NATH,2017-06-01,0.47152984142303467,72.72727272727273,87.5,69.23076923076923,63.33333333333333
NC,2017-06-01,1.537264347076416,66.66666666666666,48.0,83.33333333333334,61.29032258064516
NCLH,2017-06-01,0.04417824745178223,87.5,69.23076923076923,100.0,94.11764705882352
NDAQ,2017-06-01,0.38400769233703613,50.0,46.666666666666664,53.84615384615385,45.83333333333333
NEON,2017-06-01,-0.7419354915618896,36.36363636363637,25.0,51.724137931034484,28.000000000000004
NFLX,2017-06-01,1.2082951068878174,25.0,16.0,26.666666666666668,19.35483870967742
NI,2017-06-01,-0.0286368727684021,54.54545454545454,58.333333333333336,65.51724137931035,56.00000000000001
