Symbol,t,fwd_ret,earnings_yield,sloan_ratio,canonical
AD,2017-06-01,-0.11182588338851929,,-0.06371308016877637,50.0
ADBE,2017-06-01,0.7775497436523438,,-0.08113140403084446,81.81818181818183
ADMA,2017-06-01,0.4109947681427002,,-0.0526144618015937,27.27272727272727
AEE,2017-06-01,0.055033087730407715,0.07738705890832685,-0.05951657961860804,63.63636363636363
AEHR,2017-06-01,-0.391498863697052,,-0.050169221580728646,18.181818181818183
AEIS,2017-06-01,-0.14825254678726196,,0.014289738578444839,63.63636363636363
AEMD,2017-06-01,-0.3489583134651184,,-0.2123870199631799,37.5
AGIO,2017-06-01,0.9975252151489258,,-0.38287077568188355,25.0
AIN,2017-06-01,0.26497578620910645,0.05343714479108272,-0.02232567931975815,50.0
AIRT,2017-06-01,0.6794736385345459,,0.033142675091236175,80.0
AIT,2017-06-01,0.12746083736419678,0.03619941725992568,-0.10012350203309793,60.0
AKAM,2017-06-01,0.5734989643096924,,-0.1258055413654152,54.54545454545454
ALCO,2017-06-01,0.054756999015808105,0.05389382898287867,-0.05101360042907413,75.0
ALGT,2017-06-01,0.12402832508087158,0.13096180979622998,-0.0761383269441533,72.72727272727273
AMBA,2017-06-01,-0.1596854329109192,,-0.10835280544867854,55.55555555555556
AMGN,2017-06-01,0.2091972827911377,0.0821223490603658,-0.03390616546002628,72.72727272727273
AMN,2017-06-01,0.5317139625549316,,-0.021917108791867087,81.81818181818183
AN,2017-06-01,0.15514254570007324,,-0.008499005964214712,63.63636363636363
AORT,2017-06-01,0.5,0.035921538211482036,-0.028281773897640285,55.55555555555556
APPS,2017-06-01,0.7075471878051758,-0.37269359250417783,-0.17173214929383623,41.66666666666667
ARMK,2017-06-01,0.008215785026550293,,-0.04902952843261698,72.72727272727273
ARQ,2017-06-01,0.319461464881897,,1.0805155830599462,50.0
ASTC,2017-06-01,-0.6654205322265625,,0.007502539068898863,18.181818181818183
ASUR,2017-06-01,0.13708150386810303,0.008067426625980478,0.012117963716020181,33.33333333333333
ATEC,2017-06-01,1.010101079940796,-0.3453253617617956,-0.21198029472968954,50.0
ATEN,2017-06-01,-0.23222750425338745,,-0.17944501170156052,54.54545454545454
ATOS,2017-06-01,-0.45921987295150757,,-0.28943362034404446,11.11111111111111
ATRC,2017-06-01,0.14299190044403076,,-0.06591033242770991,44.44444444444444
AVA,2017-06-01,0.24623525142669678,,-0.04162885104868304,70.0
AWRE,2017-06-01,-0.1855669617652893,,0.004662493546721735,60.0
AWX,2017-06-01,-0.08730161190032959,,-0.04178036018105358,44.44444444444444
AXGN,2017-06-01,2.3434343338012695,-0.0169212114907157,-0.06847532935273014,50.0
AXTI,2017-06-01,0.12030065059661865,,-0.044526276208135054,77.77777777777779
BA,2017-06-01,0.9451535940170288,,-0.06226874229140971,54.54545454545454
BBGI,2017-06-01,0.24439525604248047,,0.045849609018421215,40.0
BCDA,2017-06-01,-0.6470588445663452,,-0.21682818585273073,25.0
BCHT,2017-06-01,-0.3829786777496338,,-1.2664955338051642,70.0
BCPC,2017-06-01,0.229170560836792,0.03436303153727153,-0.054436627290417934,60.0
BCRX,2017-06-01,0.1840606927871704,,-0.018987834874842787,37.5
BFAM,2017-06-01,0.3041415214538574,0.034943156231196607,-0.05024847213903079,58.333333333333336
BIIB,2017-06-01,0.17715346813201904,0.08777134547509627,-0.035826689047419216,58.333333333333336
BKD,2017-06-01,-0.4260185956954956,-0.005178783204287189,-0.08354905086275982,58.333333333333336
BLBD,2017-06-01,0.04143643379211426,0.0525144810174895,-0.0655171917399034,70.0
BLMN,2017-06-01,0.04311966896057129,,-0.11309668661030875,63.63636363636363
BRFH,2017-06-01,-0.1710526943206787,,-0.2201775548075695,44.44444444444444
BRKR,2017-06-01,0.11934447288513184,,0.012607830126078301,66.66666666666666
BRN,2017-06-01,-0.09677422046661377,,-0.1705841358337557,50.0
BTU,2017-06-01,0.8898054361343384,,-0.05833057388114827,50.0
BWA,2017-06-01,0.14086854457855225,0.02552656241163599,-0.10381789987209526,66.66666666666666
BWXT,2017-06-01,0.3925461769104004,,-0.0359491459443036,66.66666666666666
CABO,2017-06-01,-0.09894448518753052,,-0.11320781723803042,87.5
CAG,2017-06-01,-0.052963316440582275,0.10268019862215037,-0.14072558361835916,63.63636363636363
CAH,2017-06-01,-0.27865803241729736,,-0.045249399214582965,81.81818181818183
CAL,2017-06-01,0.2653692960739136,,-0.07996079369716656,54.54545454545454
CBOE,2017-06-01,0.1450866460800171,,-0.08975798076015233,55.55555555555556
CBT,2017-06-01,0.1941835880279541,0.07459302147054703,-0.07982917214191852,75.0
CBZ,2017-06-01,0.39534878730773926,,-0.02769294861021216,58.333333333333336
CCL,2017-06-01,-0.007799923419952393,0.05882341188745374,-0.06048387096774194,75.0
CCO,2017-06-01,0.1444617509841919,0.10753298921663006,-0.029527378686681958,72.72727272727273
CDXS,2017-06-01,2.762500047683716,,-0.16430094254937164,30.0
CDZI,2017-06-01,-0.15946847200393677,-0.022033840338161834,-0.25074889342613155,63.63636363636363
CHEF,2017-06-01,0.7788461446762085,0.06656818139864952,-0.056651692558299584,58.333333333333336
CHH,2017-06-01,0.25941216945648193,,-0.0148556895977327,60.0
CHRW,2017-06-01,0.32357311248779297,,-0.004345187509592549,63.63636363636363
CHTR,2017-06-01,-0.24400246143341064,0.025463913439000063,-0.03031522738097634,63.63636363636363
CKX,2017-06-01,-0.0771140456199646,,-0.007638405129472746,50.0
CL,2017-06-01,-0.16432350873947144,0.0640582515776692,-0.05774148313123814,83.33333333333334
CLF,2017-06-01,0.47198641300201416,0.07598250203257484,-0.06699932428920422,83.33333333333334
CLFD,2017-06-01,-0.1811320185661316,,-0.05014056669739533,66.66666666666666
CLPT,2017-06-01,-0.30000001192092896,,-0.30399769757265516,44.44444444444444
CMCSA,2017-06-01,-0.23610275983810425,,-0.05842105263157895,60.0
CME,2017-06-01,0.4844944477081299,,-0.0026221936473430647,80.0
CMS,2017-06-01,-0.023629069328308105,0.06664127549905183,-0.04985662750901859,55.55555555555556
CNC,2017-06-01,0.562391996383667,0.17515922347147386,-0.06382135960786256,36.36363636363637
CNP,2017-06-01,-0.07729965448379517,0.054192515583038066,-0.06867011773329057,66.66666666666666
CNTY,2017-06-01,0.06962025165557861,0.07699837329252048,-0.06006298258338766,50.0
CODI,2017-06-01,0.11721396446228027,0.017501323199962338,-0.031897611632074864,40.0
COHR,2017-06-01,0.4822580814361572,0.04782380413143329,-0.04740592664797941,54.54545454545454
COHU,2017-06-01,0.3163313865661621,,-0.06225254115631295,63.63636363636363
COR,2017-06-01,-0.08934032917022705,,-0.05201323975968766,75.0
CP,2017-06-01,0.21754276752471924,,-0.025492950418812756,62.5
CPIX,2017-06-01,-0.1343930959701538,,-0.0162107813872825,40.0
CPK,2017-06-01,0.0820993185043335,0.07505181331720046,-0.04775064492169418,63.63636363636363
CRIS,2017-06-01,-0.7121387720108032,-0.0023778407975852183,-0.4259592741376922,18.181818181818183
CRM,2017-06-01,0.44941699504852295,0.0010190843377696148,-0.11274237595467436,54.54545454545454
CRMD,2017-06-01,-0.3953489065170288,,-0.10856341160061728,27.27272727272727
CSGP,2017-06-01,0.47024714946746826,0.23150911397184482,-0.05074132873972055,83.33333333333334
CTAS,2017-06-01,0.4699462652206421,0.18732312378666954,0.05547105260144435,83.33333333333334
CVCO,2017-06-01,0.9479537010192871,,-0.027087489956394956,72.72727272727273
CVGI,2017-06-01,-0.050420165061950684,,-0.09930847900365002,41.66666666666667
CVLG,2017-06-01,0.6932611465454102,0.0935262205754902,-0.13793675810345216,54.54545454545454
CVLT,2017-06-01,0.21681416034698486,,-0.12391418327278705,54.54545454545454
CVV,2017-06-01,-0.3657689094543457,-0.013261276851783712,-0.19739025975660573,30.0
CWCO,2017-06-01,0.11824548244476318,,-0.023610905194506596,77.77777777777779
CXW,2017-06-01,-0.20345264673233032,0.07327424147170579,-0.047516141929157686,81.81818181818183
D,2017-06-01,-0.18749988079071045,0.054851883537140995,-0.027984918307498954,44.44444444444444
DAIO,2017-06-01,-0.15826493501663208,,-0.12423625254582485,44.44444444444444
DAKT,2017-06-01,-0.15739190578460693,,-0.03204476093591048,36.36363636363637
DAL,2017-06-01,0.11854958534240723,0.1830110780054424,-0.05524667876163165,81.81818181818183
DGII,2017-06-01,0.22797942161560059,,-0.03088057685786189,66.66666666666666
DLB,2017-06-01,0.23213613033294678,,-0.07401348682701141,45.45454545454545
DTE,2017-06-01,-0.05573338270187378,,-0.03795137480103617,63.63636363636363
DVN,2017-06-01,0.21658146381378174,,-0.18531239146374406,63.63636363636363
DWSN,2017-06-01,0.8520481586456299,,-0.2586190359468417,50.0
EAT,2017-06-01,0.1258028745651245,,-0.13169884757142586,72.72727272727273
EBS,2017-06-01,0.6270338296890259,,0.019502832524588152,66.66666666666666
ED,2017-06-01,-0.062450110912323,0.18484531690291342,-0.045659699399675735,55.55555555555556
EDSA,2017-06-01,-0.7886658906936646,,-0.04022715137746715,37.5
EGAN,2017-06-01,7.633333206176758,,-0.1686744481201756,60.0
EGHT,2017-06-01,0.37769782543182373,,-0.09953123361938566,37.5
EHTH,2017-06-01,0.1579514741897583,,-0.08232398828272068,63.63636363636363
ELSE,2017-06-01,0.028571486473083496,,0.00045948843620768876,36.36363636363637
ELV,2017-06-01,0.19599699974060059,0.0874599247463865,-0.011288644824847004,72.72727272727273
EME,2017-06-01,0.19568419456481934,,-0.021217871844321126,63.63636363636363
EMN,2017-06-01,0.33442699909210205,0.07160548887733836,-0.03435336740635311,75.0
ENS,2017-06-01,0.0782698392868042,,-0.03742473383459171,91.66666666666666
EPAM,2017-06-01,0.43418920040130615,,-0.07080386817611801,63.63636363636363
EQIX,2017-06-01,-0.0675618052482605,,-0.0705705756913403,50.0
ERNA,2017-06-01,-0.39253729581832886,,-0.17646001796945193,50.0
ES,2017-06-01,-0.07539010047912598,,-0.01759370711394708,88.88888888888889
ESCA,2017-06-01,0.21881020069122314,0.09934890104455735,-0.004483918254721049,63.63636363636363
ETSY,2017-06-01,1.3335793018341064,,-0.131901106861232,55.55555555555556
EVTC,2017-06-01,0.30152952671051025,0.06204753401512939,-0.10502652253342697,60.0
EXEL,2017-06-01,0.07974815368652344,-0.005055197134687093,-0.46275987756488673,54.54545454545454
EXPD,2017-06-01,0.41357719898223877,,-0.03521911259961496,70.0
EXPO,2017-06-01,0.728989839553833,,-0.04821371958468733,87.5
EZPW,2017-06-01,0.5028902292251587,,-0.14762052959387498,50.0
